Quarterbacks,,,,,,,,,
,,,,,,,,,
Depth,Player,Contract,Draft,Age,Ht,Wt,Status,%DB,%Runs
1,Colin Kaepernick,2020,2011-2,27.8,"6'4""",230,0,97%,22%
2,Blaine Gabbert,0,2011-1,25.8,"6'4""",235,0,3%,1%
3,Dylan Thompson,2017,0,0,0,0,0,0%,0%
,,,,,,,,,
Halfbacks,,,,,,,,,
,,,,,,,,,
Depth,Player,Contract,Draft,Age,Ht,Wt,Status,%Runs,%Targs
1,Carlos Hyde,2017,2014-2,23.9,"6'0""",235,0,54%,6%
2,Reggie Bush,2015,2006-1,30.4,"6'0""",205,0,15%,11%
3,Kendall Hunter,2015,2011-4,26.9,"5'7""",199,0,3%,1%
4,Mike Davis,2018,2015-4,22.5,"5'9""",217,0,2%,1%
5,Jarryd Hayne,0,2015-U,27.5,"6'2""",226,0,0%,0%
6,Kendall Gaskins,R/F,2013-U,24.8,"6'1""",238,0,0%,0%
,,,,,,,,,
Fullbacks,,,,,,,,,
,,,,,,,,,
Depth,Player,Contract,Draft,Age,Ht,Wt,Status,%Runs,%Targs
1,Bruce Miller,2017,2011-7,28,"6'2""",248,0,2%,3%
2,Trey Millard,2017,2014-7,24.1,"6'2""",247,NFI,0%,0%
,,,,,,,,,
Wide Receivers,,,,,,,,,
,,,,,,,,,
Depth,Player,Contract,Draft,Age,Ht,Wt,Status,%Runs,%Targs
1,Anquan Boldin,2015,2003-2,34.8,"6'1""",220,0,0%,24%
2,Torrey Smith,2019,2011-2,26.5,"6'0""",205,0,0%,21%
3,Quinton Patton,2016,2013-4,25,"6'0""",204,0,0%,7%
4,Bruce Ellington,2017,2014-4,24,"5'9""",197,0,1%,3%
5,Jerome Simpson,2016,2008-2,29.5,"6'2""",190,susp1-6,0%,6%
6,DeAndre Smelter,2018,2015-4,23.7,"6'2""",226,NFI,0%,0%
7,DeAndrew White,2017,2015-U,23.8,"6'0""",190,0,0%,0%
8,Dres Anderson,2017,2015-U,23.1,"6'2""",190,0,0%,0%
9,Chuck Jacobs,2015,0,0,0,0,0,0%,0%
10,Isaac Blakeney,2017,0,0,0,0,0,0%,0%
11,DiAndre Campbell,2017,0,0,0,0,0,0%,0%
12,Mario Hull,2017,0,0,0,0,0,0%,0%
13,Nigel King,0,0,0,0,0,0,0%,0%
,,,,,,,,,
Tight Ends,,,,,,,,,
,,,,,,,,,
Depth,Player,Contract,Draft,Age,Ht,Wt,Status,%Runs,%Targs
1,Vernon Davis,2015,2006-1,31.5,"6'3""",250,0,0%,15%
2,Blake Bell,2018,2015-4,24,"6'6""",252,0,0%,2%
3,Vance McDonald,2016,2013-2,25.2,"6'4""",267,0,0%,2%
4,Rory Anderson,2018,2015-7,22.8,"6'5""",244,0,0%,0%
5,Garrett Celek,0,2012-U,27.2,"6'5""",252,0,0%,0%
6,Xavier Grimble,R/F,2014-U,22.9,"6'4""",261,0,0%,0%
,,,,,,,,,
