Quarterbacks,,,,,,,,,
,,,,,,,,,
Depth,Player,Contract,Draft,Age,Ht,Wt,Status,%DB,%Runs
1,Jay Cutler,2020,2006-1,32.3,"6'3""",220,0,94%,11%
2,Jimmy Clausen,0,2010-2,26.9,"6'2""",210,0,6%,1%
3,David Fales,2016,2014-6,24.8,"6'1""",228,0,0%,0%
4,Shane Carden,2017,2015-U,23.7,"6'2""",218,0,0%,0%
,,,,,,,,,
Halfbacks,,,,,,,,,
,,,,,,,,,
Depth,Player,Contract,Draft,Age,Ht,Wt,Status,%Runs,%Targs
1,Matt Forte,2015,2008-2,29.7,"6'2""",218,0,60%,14%
2,Jacquizz Rodgers,2015,2011-5,25.5,"5'6""",196,0,8%,3%
3,Jeremy Langford,2018,2015-4,23.7,"6'0""",208,0,14%,1%
4,Ka'Deem Carey,2017,2014-4,22.8,"5'10""",207,0,5%,1%
5,Senorise Perry,2016,2014-U,23.9,"6'0""",187,0,0%,0%
6,Daniel Thomas,0,2011-2,27.8,"6'1""",235,0,0%,0%
,,,,,,,,,
Wide Receivers,,,,,,,,,
,,,,,,,,,
Depth,Player,Contract,Draft,Age,Ht,Wt,Status,%Runs,%Targs
1,Alshon Jeffery,2015,2012-2,25.5,"6'3""",216,0,2%,26%
2,Eddie Royal,2017,2008-2,29.2,"5'10""",185,0,0%,18%
3,Kevin White,2018,2015-1,22.1,"6'3""",215,0,0%,9%
4,Marquess Wilson,2016,2013-7,22.9,"6'4""",184,0,0%,6%
5,Josh Bellamy,2015,2012-U,26.2,"6'0""",206,0,0%,1%
6,Marc Mariani,2015,2010-7,28.3,"6'1""",187,0,0%,0%
7,Rashad Lawrence,R/F,0,0,0,0,0,0%,0%
8,John Chiles,R/F,0,0,0,0,0,0%,0%
9,Cameron Meredith,2017,2015-U,22.9,"6'3""",207,0,0%,0%
10,Levi Norwood,2017,2015-U,23.1,"6'0""",197,0,0%,0%
11,Ify Umodu,2017,0,0,0,0,0,0%,0%
12,A.J. Cruz,0,0,0,0,0,0,0%,0%
13,Jeremy Kelley,0,2013-U,27.2,"6'6""",231,0,0%,0%
,,,,,,,,,
Tight Ends,,,,,,,,,
,,,,,,,,,
Depth,Player,Contract,Draft,Age,Ht,Wt,Status,%Runs,%Targs
1,Martellus Bennett,2016,2008-2,28.4,"6'6""",265,0,0%,19%
2,Dante Rosario,2015,2007-5,30.8,"6'3""",242,0,0%,2%
3,Zach Miller,2015,2009-6,30.8,"6'5""",236,0,0%,0%
4,Bear Pascoe,2015,2009-6,29.5,"6'5""",265,0,0%,1%
5,Blake Annen,2016,2014-U,24.2,"6'4""",247,0,0%,0%
6,Chris Pantale,0,2013-U,25.4,"6'5""",254,0,0%,0%
7,Kevin X. Greene,0,0,0,0,0,0,0%,0%
,,,,,,,,,
