Quarterbacks,,,,,,,,,
,,,,,,,,,
Depth,Player,Contract,Draft,Age,Ht,Wt,Status,%DB,%Runs
1,Andy Dalton,2020,2011-2,27.8,"6'2""",216,0,100%,10%
2,A.J. McCarron,2017,2014-5,24.9,"6'3""",210,0,1%,0%
3,Keith Wenning,0,2014-6,24.5,"6'3""",225,0,0%,0%
,,,,,,,,,
Halfbacks,,,,,,,,,
,,,,,,,,,
Depth,Player,Contract,Draft,Age,Ht,Wt,Status,%Runs,%Targs
1,Jeremy Hill,2017,2014-2,22.8,"6'1""",235,0,59%,6%
2,Giovani Bernard,2016,2013-2,23.7,"5'9""",205,0,26%,15%
3,Rex Burkhead,2016,2013-6,25.1,"5'10""",210,0,1%,3%
4,Cedric Peerman,2015,2009-6,28.8,"5'10""",212,0,0%,0%
5,Terrell Watson,2017,2015-U,22,"6'1""",242,0,0%,0%
6,James Wilder Jr.,R/F,0,0,0,0,0,0%,0%
7,Mark Weisman,2017,0,0,0,0,0,0%,0%
,,,,,,,,,
Fullbacks,,,,,,,,,
,,,,,,,,,
Depth,Player,Contract,Draft,Age,Ht,Wt,Status,%Runs,%Targs
1,Ryan Hewitt,2016,2014-U,24.5,"6'4""",254,0,0%,2%
,,,,,,,,,
Wide Receivers,,,,,,,,,
,,,,,,,,,
Depth,Player,Contract,Draft,Age,Ht,Wt,Status,%Runs,%Targs
1,A.J. Green,2015,2011-1,27,"6'4""",207,0,1%,30%
2,Marvin Jones,2015,2012-5,25.4,"6'2""",198,0,0%,16%
3,Mohamed Sanu,2015,2012-3,26,"6'2""",210,0,2%,9%
4,Denarius Moore,2015,2011-5,26.7,"6'0""",190,0,0%,1%
5,Brandon Tate,0,2009-3,27.8,"6'1""",195,0,0%,1%
6,Mario Alford,2018,2015-7,23.5,"5'9""",180,0,0%,0%
7,Greg Little,0,2011-2,26.2,"6'2""",220,0,0%,0%
8,Tevin Reese,R/F,2014-7,24.6,"5'10""",170,0,0%,0%
9,Jake Kumerow,2017,2015-U,23.5,"6'4""",206,0,0%,0%
10,Onterio McCalebb,0,2013-U,26,"5'10""",175,0,0%,0%
11,Desmond Lawrence,2017,0,0,0,0,0,0%,0%
12,Michael X. Bennett,0,0,0,0,0,0,0%,0%
16,James Wright,2017,2014-7,23.6,"6'1""",201,IR,0%,0%
,,,,,,,,,
Tight Ends,,,,,,,,,
,,,,,,,,,
Depth,Player,Contract,Draft,Age,Ht,Wt,Status,%Runs,%Targs
1,Tyler Eifert,2016,2013-1,24.9,"6'6""",250,0,0%,16%
2,Tyler Kroft,2018,2015-3,22.8,"6'6""",246,0,0%,2%
3,C.J. Uzomah,2018,2015-5,22.6,"6'6""",271,0,0%,1%
4,Matt Lengel,2017,0,0,0,0,0,0%,0%
5,John Peters,2017,0,0,0,0,0,0%,0%
,,,,,,,,,
