Quarterbacks,,,,,,,,,
,,,,,,,,,
Depth,Player,Contract,Draft,Age,Ht,Wt,Status,%DB,%Runs
1,Peyton Manning,2016,1998-1,39.4,"6'5""",230,0,100%,5%
2,Brock Osweiler,2015,2012-2,24.7,"6'8""",240,0,1%,1%
3,Zac Dysert,R/F,2013-7,25.5,"6'3""",221,0,0%,0%
4,Trevor Siemian,2018,2015-7,23.6,"6'3""",220,0,0%,0%
,,,,,,,,,
Halfbacks,,,,,,,,,
,,,,,,,,,
Depth,Player,Contract,Draft,Age,Ht,Wt,Status,%Runs,%Targs
1,C.J. Anderson,2015,2013-U,24.5,"5'8""",224,0,57%,10%
2,Ronnie Hillman,2015,2012-3,23.9,"5'10""",195,0,19%,3%
3,Montee Ball,2016,2013-2,24.7,"5'10""",215,0,13%,2%
4,Juwan Thompson,2016,2014-U,23.2,"5'11""",225,0,3%,1%
5,Jeremy Stewart,2015,2012-U,26.5,"5'11""",215,0,0%,0%
6,Kapri Bibbs,R/F,2014-U,22.6,"5'11""",203,0,0%,0%
8,Montee Ball,2016,2013-2,24.7,"5'10""",215,0,13%,2%
,,,,,,,,,
Fullbacks,,,,,,,,,
,,,,,,,,,
Depth,Player,Contract,Draft,Age,Ht,Wt,Status,%Runs,%Targs
1,James Casey,2015,2009-5,30.9,"6'3""",240,0,0%,3%
2,Joe Jon Duncan,0,0,0,0,0,0,0%,0%
,,,,,,,,,
Wide Receivers,,,,,,,,,
,,,,,,,,,
Depth,Player,Contract,Draft,Age,Ht,Wt,Status,%Runs,%Targs
1,Demaryius Thomas,2019,2010-1,27.6,"6'3""",229,0,0%,28%
2,Emmanuel Sanders,2016,2010-3,28.4,"5'11""",180,0,2%,21%
3,Cody Latimer,2017,2014-2,22.8,"6'2""",215,0,0%,14%
4,Andre Caldwell,2015,2008-3,30.3,"6'0""",200,0,0%,1%
5,Jordan Norwood,2015,2009-U,28.9,"5'11""",180,0,0%,0%
6,Isaiah Burse,R/F,2014-U,23.7,"5'10""",187,0,0%,0%
7,Jordan Taylor,2017,2015-U,23.5,"6'5""",210,0,0%,0%
8,Bennie Fowler,R/F,2014-U,24.2,"6'1""",212,0,0%,0%
9,Nathan Palmer,R/F,2012-U,26.3,"5'11""",198,0,0%,0%
10,Solomon Patton,0,2014-U,24.8,"5'9""",177,0,0%,0%
11,Corbin Louks,0,0,0,0,0,0,0%,0%
16,Kyle Williams,R/F,2010-6,27.1,"5'10""",186,IR,0%,0%
,,,,,,,,,
Tight Ends,,,,,,,,,
,,,,,,,,,
Depth,Player,Contract,Draft,Age,Ht,Wt,Status,%Runs,%Targs
1,Owen Daniels,2017,2006-4,32.7,"6'3""",245,0,0%,13%
2,Virgil Green,2017,2011-7,27,"6'5""",255,0,0%,5%
3,Dominique Jones,2015,2012-U,28,"6'3""",270,0,0%,0%
4,Marcel Jensen,0,2014-U,25.5,"6'6""",270,0,0%,0%
5,Jake Murphy,0,2014-U,25.9,"6'4""",252,0,0%,0%
8,Jeff Heuerman,2018,2015-3,22.7,"6'5""",255,IR,0%,0%
,,,,,,,,,
