Quarterbacks,,,,,,,,,
,,,,,,,,,
Depth,Player,Contract,Draft,Age,Ht,Wt,Status,%DB,%Runs
1,Josh McCown,2017,2002-3,36.1,"6'4""",218,0,93%,9%
2,Johnny Manziel,2017,2014-1,22.7,"6'0""",210,0,7%,1%
3,Connor Shaw,2016,2014-U,23.9,"6'1""",210,0,0%,0%
4,Thaddeus Lewis,2015,2010-U,27.7,"6'2""",200,0,0%,0%
5,Pat Devlin,0,2011-U,27.3,"6'3""",220,0,0%,0%
,,,,,,,,,
Halfbacks,,,,,,,,,
,,,,,,,,,
Depth,Player,Contract,Draft,Age,Ht,Wt,Status,%Runs,%Targs
1,Isaiah Crowell,2016,2014-U,22.6,"5'11""",225,0,45%,3%
2,Duke Johnson,2018,2015-3,21.9,"5'9""",207,0,24%,12%
3,Terrance West,2017,2014-3,24.5,"5'10""",225,0,17%,2%
4,Shaun Draughn,2015,2011-U,27.7,"5'11""",205,0,1%,0%
5,Glenn Winston,2016,2014-U,26.3,"6'2""",220,0,0%,0%
6,Tim Flanders,0,2014-U,23.9,"5'9""",210,0,0%,0%
7,Jalen Parmele,0,2008-6,29.6,"5'11""",223,0,0%,0%
,,,,,,,,,
Fullbacks,,,,,,,,,
,,,,,,,,,
Depth,Player,Contract,Draft,Age,Ht,Wt,Status,%Runs,%Targs
1,Malcolm Johnson,2018,2015-6,23,"6'1""",231,0,0%,1%
2,Luke Lundy,2017,0,0,0,0,0,0%,0%
,,,,,,,,,
Wide Receivers,,,,,,,,,
,,,,,,,,,
Depth,Player,Contract,Draft,Age,Ht,Wt,Status,%Runs,%Targs
1,Dwayne Bowe,2016,2007-1,30.9,"6'2""",222,0,0%,20%
2,Andrew Hawkins,2017,2011-U,29.4,"5'7""",180,0,1%,18%
3,Brian Hartline,2016,2009-4,28.7,"6'2""",200,0,0%,14%
4,Taylor Gabriel,2016,2014-U,24.5,"5'8""",167,0,0%,11%
5,Terrelle Pryor,2015,2011-U,26.1,"6'4""",223,0,1%,2%
6,Vince Mayle,2018,2015-4,24.2,"6'2""",225,0,0%,1%
7,Travis Benjamin,2015,2012-4,25.6,"5'10""",175,0,0%,0%
8,Marlon Moore,0,2010-U,27.9,"6'0""",190,0,0%,0%
9,Darius Jennings,2017,0,0,0,0,0,0%,0%
10,Josh Lenz,0,2014-U,24.9,"6'0""",195,0,0%,0%
11,Shane Wynn,2017,2015-U,22.7,"5'6""",167,0,0%,0%
16,Josh Gordon,2016,2012-U,24.3,"6'3""",225,susp,0%,0%
,,,,,,,,,
Tight Ends,,,,,,,,,
,,,,,,,,,
Depth,Player,Contract,Draft,Age,Ht,Wt,Status,%Runs,%Targs
1,Rob Housler,2015,2011-3,27.4,"6'5""",250,0,0%,11%
2,Gary Barnidge,2015,2008-5,29.9,"6'6""",250,0,0%,3%
3,Jim Dray,2016,2010-7,28.6,"6'5""",255,0,0%,3%
4,E.J. Bibbs,2017,2015-U,23.9,"6'2""",258,0,0%,1%
5,Randall Telfer,2018,2015-6,23.2,"6'4""",250,NFI,0%,0%
,,,,,,,,,
