Quarterbacks,,,,,,,,,
,,,,,,,,,
Depth,Player,Contract,Draft,Age,Ht,Wt,Status,%DB,%Runs
1,Jameis Winston,2018,2015-1,21.6,"6'4""",231,0,100%,12%
2,Mike Glennon,2016,2013-3,25.7,"6'6""",225,0,1%,0%
3,Seth Lobato,R/F,0,0,0,0,0,0%,0%
,,,,,,,,,
Halfbacks,,,,,,,,,
,,,,,,,,,
Depth,Player,Contract,Draft,Age,Ht,Wt,Status,%Runs,%Targs
1,Doug Martin,2015,2012-1,26.6,"5'9""",223,0,54%,5%
2,Charles Sims,2017,2014-3,24.9,"6'0""",211,0,23%,11%
3,Bobby Rainey,2015,2012-U,27.8,"5'8""",212,0,8%,2%
4,Mike James,2016,2013-6,24.3,"5'10""",223,0,1%,0%
5,Dominique Brown,2017,2015-U,23.6,"6'2""",241,0,0%,0%
,,,,,,,,,
Fullbacks,,,,,,,,,
,,,,,,,,,
Depth,Player,Contract,Draft,Age,Ht,Wt,Status,%Runs,%Targs
1,Jorvorskie Lane,2015,2012-U,28.5,"5'11""",258,0,1%,2%
2,Joey Iosefa,2018,2015-7,24.1,"6'0""",245,0,0%,0%
,,,,,,,,,
Wide Receivers,,,,,,,,,
,,,,,,,,,
Depth,Player,Contract,Draft,Age,Ht,Wt,Status,%Runs,%Targs
1,Mike Evans,2017,2014-1,22,"6'5""",231,0,0%,27%
2,Vincent Jackson,2016,2005-2,32.6,"6'5""",230,0,0%,22%
3,Louis Murphy,2017,2009-4,28.2,"6'2""",200,0,0%,7%
4,Kenny Bell,2018,2015-5,23.5,"6'1""",197,0,0%,5%
5,Robert Herron,2017,2014-6,23.2,"5'9""",193,0,0%,1%
6,Kaelin Clay,2018,2015-6,23.6,"5'10""",195,0,0%,0%
7,Russell Shepard,2015,2013-U,24.7,"6'1""",195,0,0%,0%
8,Tavarres King,2015,2013-5,25.1,"6'1""",210,0,0%,0%
9,Rannell Hall,2017,2015-U,22.5,"6'1""",200,0,0%,0%
10,Donteea Dye,2017,0,0,0,0,0,0%,0%
11,Adam Humphries,2017,0,0,0,0,0,0%,0%
,,,,,,,,,
Tight Ends,,,,,,,,,
,,,,,,,,,
Depth,Player,Contract,Draft,Age,Ht,Wt,Status,%Runs,%Targs
1,Austin Seferian-Jenkins,2017,2014-2,22.9,"6'5""",262,0,0%,14%
2,Brandon Myers,2016,2009-6,29.9,"6'3""",256,0,0%,3%
3,Luke Stocker,2017,2011-4,27.1,"6'5""",253,0,0%,1%
4,Timothy Wright,0,2013-U,25.3,"6'4""",220,0,0%,1%
5,Cameron Brate,2015,2014-U,24.1,"6'5""",235,0,0%,0%
,,,,,,,,,
