Quarterbacks,,,,,,,,,
,,,,,,,,,
Depth,Player,Contract,Draft,Age,Ht,Wt,Status,%DB,%Runs
1,Carson Palmer,2017,2003-1,35.6,"6'5""",235,0,94%,6%
2,Drew Stanton,2015,2007-2,31.3,"6'3""",243,0,6%,0%
3,Logan Thomas,2017,2014-4,24.1,"6'6""",250,0,0%,0%
4,Phillip Sims,2017,0,0,0,0,0,0%,0%
,,,,,,,,,
Halfbacks,,,,,,,,,
,,,,,,,,,
Depth,Player,Contract,Draft,Age,Ht,Wt,Status,%Runs,%Targs
1,Andre Ellington,2016,2013-6,26.5,"5'9""",199,0,51%,12%
2,Chris D. Johnson,2015,2008-1,29.9,"5'11""",203,0,18%,2%
3,David J. Johnson,2018,2015-3,23.6,"6'1""",224,0,16%,7%
4,Kerwynn Williams,2015,2013-7,24.2,"5'8""",198,0,1%,1%
5,Stepfan Taylor,2016,2013-5,24.2,"5'9""",216,0,0%,0%
6,Marion Grice,2015,2014-6,23.1,"6'0""",208,0,0%,0%
7,Paul Lasike,2017,0,0,0,0,0,0%,0%
,,,,,,,,,
Fullbacks,,,,,,,,,
,,,,,,,,,
Depth,Player,Contract,Draft,Age,Ht,Wt,Status,%Runs,%Targs
1,Robert Hughes,2015,2011-U,26.1,"5'11""",235,0,8%,1%
,,,,,,,,,
Wide Receivers,,,,,,,,,
,,,,,,,,,
Depth,Player,Contract,Draft,Age,Ht,Wt,Status,%Runs,%Targs
1,Larry Fitzgerald,2016,2004-1,31.9,"6'3""",218,0,0%,20%
2,Michael Floyd,2016,2012-1,25.7,"6'2""",220,0,0%,19%
3,John Brown,2017,2014-3,25.4,"5'11""",179,0,1%,20%
4,Jaron Brown,2015,2013-U,25.6,"6'2""",205,0,0%,4%
5,J.J. Nelson,2018,2015-5,23.3,"5'10""",160,0,0%,1%
6,Brittan Golden,2016,2012-U,27.1,"5'11""",186,0,0%,0%
7,Trevor Harman,2017,0,0,0,0,0,0%,0%
8,Jaxon Shipley,2017,2015-U,23.1,"6'0""",190,0,0%,0%
9,Ryan Spadola,R/F,2013-U,24.5,"6'1""",205,0,0%,0%
10,Travis Harvey,0,0,0,0,0,0,0%,0%
16,Damond Powell,2017,0,0,0,0,IR,0%,0%
,,,,,,,,,
Tight Ends,,,,,,,,,
,,,,,,,,,
Depth,Player,Contract,Draft,Age,Ht,Wt,Status,%Runs,%Targs
1,Darren Fells,2015,2012-U,29.3,"6'7""",281,0,0%,5%
2,Troy Niklas,2017,2014-2,22.9,"6'6""",270,0,0%,3%
3,Jermaine Gresham,2015,2010-1,27.1,"6'5""",260,0,0%,6%
4,Ifeanyi Momah,2015,2013-U,25.8,"6'7""",255,0,0%,1%
5,Gerald Christian,2018,2015-7,24,"6'3""",250,0,0%,0%
6,Gannon Sinclair,2017,0,0,0,0,0,0%,0%
,,,,,,,,,
