Quarterbacks,,,,,,,,,
,,,,,,,,,
Depth,Player,Contract,Draft,Age,Ht,Wt,Status,%DB,%Runs
1,Philip Rivers,2019,2004-1,33.7,"6'5""",228,0,100%,8%
2,Kellen Clemens,2015,2006-2,32.2,"6'2""",220,0,1%,0%
3,Brad Sorensen,R/F,2013-7,27.4,"6'5""",230,0,0%,0%
4,Chase Rettig,2017,0,0,0,0,0,0%,0%
,,,,,,,,,
Halfbacks,,,,,,,,,
,,,,,,,,,
Depth,Player,Contract,Draft,Age,Ht,Wt,Status,%Runs,%Targs
1,Melvin Gordon,2018,2015-1,22.3,"6'1""",215,0,61%,5%
2,Danny Woodhead,2016,2008-U,30.5,"5'8""",200,0,18%,13%
3,Branden Oliver,2016,2014-U,24.3,"5'8""",208,0,13%,2%
4,Donald Brown,2016,2009-1,28.3,"5'10""",207,0,1%,1%
5,Dreamius Smith,2017,2015-U,22.9,"5'11""",225,0,0%,0%
6,Jahwan Edwards,2017,2015-U,23,"5'9""",220,0,0%,0%
,,,,,,,,,
Wide Receivers,,,,,,,,,
,,,,,,,,,
Depth,Player,Contract,Draft,Age,Ht,Wt,Status,%Runs,%Targs
1,Keenan Allen,2016,2013-3,23.3,"6'2""",211,0,0%,24%
2,Malcom Floyd,2015,2004-U,33.9,"6'5""",225,0,0%,13%
3,Steve Johnson,2017,2008-7,29,"6'2""",207,0,0%,16%
4,Dontrelle Inman,2015,2013-U,26.5,"6'3""",205,0,0%,2%
5,Jacoby Jones,2016,2007-3,31.1,"6'2""",215,0,0%,1%
6,Javontee Herndon,R/F,2014-U,24.1,"6'0""",194,0,0%,0%
7,Titus Davis,2017,2015-U,22.6,"6'1""",200,0,0%,0%
8,Austin Pettis,R/F,2011-3,27.3,"6'3""",203,0,0%,0%
9,Torrence Allen,R/F,0,0,0,0,0,0%,0%
10,Tyrell Williams,2017,2015-U,23.5,"6'4""",205,0,0%,0%
,,,,,,,,,
Tight Ends,,,,,,,,,
,,,,,,,,,
Depth,Player,Contract,Draft,Age,Ht,Wt,Status,%Runs,%Targs
1,Antonio Gates,2015,2003-U,35.1,"6'4""",255,0,0%,12%
2,Ladarius Green,2015,2012-4,25.2,"6'6""",240,0,0%,9%
3,John Phillips,2015,2009-6,28.2,"6'5""",251,0,0%,1%
4,David Johnson,2015,2009-7,28,"6'2""",260,0,0%,1%
5,David Paulson,R/F,2012-7,26.5,"6'4""",246,0,0%,0%
6,Brian Parker,2017,2015-U,23.2,"6'4""",265,0,0%,0%
7,Kyle Miller,0,2011-U,27.3,"6'5""",262,0,0%,0%
8,Logan Stokes,0,0,0,0,0,0,0%,0%
,,,,,,,,,
