Quarterbacks,,,,,,,,,
,,,,,,,,,
Depth,Player,Contract,Draft,Age,Ht,Wt,Status,%DB,%Runs
1,Alex D. Smith,2018,2005-1,31.3,"6'4""",217,0,97%,13%
2,Chase Daniel,2015,2009-U,28.8,"6'0""",225,0,3%,0%
3,Tyler Bray,2015,2013-U,23.6,"6'6""",215,0,0%,0%
4,Aaron Murray,2017,2014-5,24.7,"6'1""",207,0,0%,0%
,,,,,,,,,
Halfbacks,,,,,,,,,
,,,,,,,,,
Depth,Player,Contract,Draft,Age,Ht,Wt,Status,%Runs,%Targs
1,Jamaal Charles,2017,2008-3,28.6,"5'11""",199,0,57%,14%
2,Knile Davis,2016,2013-3,23.8,"5'10""",227,0,21%,4%
3,Charcandrick West,2015,2014-U,24.2,"5'10""",205,0,4%,1%
4,Darrin Reaves,0,2014-U,22.3,"5'10""",215,0,0%,0%
10,Keshawn Hill,2017,2015-U,22.4,"5'9""",211,IR,0%,0%
,,,,,,,,,
Fullbacks,,,,,,,,,
,,,,,,,,,
Depth,Player,Contract,Draft,Age,Ht,Wt,Status,%Runs,%Targs
1,Anthony Sherman,2017,2011-5,26.7,"5'10""",242,0,0%,2%
2,Spencer Ware,R/F,2013-6,23.7,"5'10""",229,0,0%,0%
,,,,,,,,,
Wide Receivers,,,,,,,,,
,,,,,,,,,
Depth,Player,Contract,Draft,Age,Ht,Wt,Status,%Runs,%Targs
1,Jeremy Maclin,2019,2009-1,27.2,"6'0""",198,0,0%,24%
2,Albert Wilson,2016,2014-U,23.1,"5'9""",200,0,0%,9%
3,Chris Conley,2018,2015-3,22.8,"6'3""",205,0,0%,10%
4,De'Anthony Thomas,2017,2014-4,22.6,"5'8""",176,0,4%,9%
5,Jason Avant,0,2006-4,32.3,"6'0""",210,0,0%,2%
6,Frankie Hammond,2015,2013-U,0,"6'1""",184,0,0%,0%
7,Junior Hemingway,2015,2012-7,26.6,"6'1""",225,0,0%,0%
8,Fred Williams,R/F,2014-U,27.3,"6'0""",190,0,0%,0%
9,Da'Ron Brown,2018,2015-7,23.9,"6'0""",199,0,0%,0%
10,Donatella Luckett,2017,0,0,0,0,0,0%,0%
11,Kenny Cook,2017,0,0,0,0,0,0%,0%
12,Jeret Smith,2017,0,0,0,0,0,0%,0%
13,L'Damian Washington,0,2014-U,24.2,"6'4""",204,0,0%,0%
16,Armon Binns,R/F,2011-U,25.9,"6'3""",211,IR,0%,0%
,,,,,,,,,
Tight Ends,,,,,,,,,
,,,,,,,,,
Depth,Player,Contract,Draft,Age,Ht,Wt,Status,%Runs,%Targs
1,Travis Kelce,2016,2013-3,25.8,"6'5""",260,0,0%,22%
2,James O'Shaughnessy,2018,2015-5,23.6,"6'4""",245,0,0%,3%
3,Demetrius Harris,2015,2013-U,24,"6'7""",230,Inj foot,0%,0%
4,Richard Gordon,R/F,2011-6,28.2,"6'4""",265,0,0%,0%
5,Adam Schiltz,R/F,0,0,0,0,0,0%,0%
6,Ryan Taylor,2015,2011-7,27.7,"6'3""",254,0,0%,0%
,,,,,,,,,
