Quarterbacks,,,,,,,,,
,,,,,,,,,
Depth,Player,Contract,Draft,Age,Ht,Wt,Status,%DB,%Runs
1,Andrew Luck,2016,2012-1,25.9,"6'4""",240,0,100%,13%
2,Matt Hasselbeck,2015,1998-6,39.9,"6'4""",235,0,1%,0%
3,Bryan Bennett,2017,0,0,0,0,0,0%,0%
,,,,,,,,,
Halfbacks,,,,,,,,,
,,,,,,,,,
Depth,Player,Contract,Draft,Age,Ht,Wt,Status,%Runs,%Targs
1,Frank Gore,2017,2005-3,32.2,"5'9""",217,0,60%,8%
2,Dan Herron,2015,2012-6,26.4,"5'10""",213,0,12%,5%
3,Josh D. Robinson,2018,2015-6,23,"5'8""",221,0,11%,3%
4,Vick Ballard,2015,2012-5,25.1,"5'10""",224,0,1%,1%
5,Zurlon Tipton,2015,2014-U,25.3,"6'0""",230,0,0%,0%
6,Tyler Varga,2017,2015-U,21.9,"5'11""",225,0,0%,0%
7,Abou Toure,2017,0,0,0,0,0,0%,0%
,,,,,,,,,
Wide Receivers,,,,,,,,,
,,,,,,,,,
Depth,Player,Contract,Draft,Age,Ht,Wt,Status,%Runs,%Targs
1,T.Y. Hilton,0,2012-3,25.7,"5'9""",180,0,1%,22%
2,Andre Johnson,2017,2003-1,34.1,"6'3""",229,0,0%,20%
3,Phillip Dorsett,2018,2015-1,22.6,"5'10""",185,0,1%,10%
4,Donte Moncrief,2017,2014-3,22,"6'2""",222,0,1%,7%
5,Duron Carter,2017,2015-U,24.4,"6'5""",211,0,0%,1%
6,Vincent Brown,2015,2011-3,26.5,"5'11""",195,0,0%,0%
7,Griff Whalen,0,2012-U,25.4,"5'11""",190,0,0%,0%
8,Ryan Lankford,R/F,0,0,0,0,0,0%,0%
9,Ezell Ruffin,2017,2015-U,23.4,"6'0""",218,0,0%,0%
10,Quan Bray,2017,0,0,0,0,0,0%,0%
,,,,,,,,,
Tight Ends,,,,,,,,,
,,,,,,,,,
Depth,Player,Contract,Draft,Age,Ht,Wt,Status,%Runs,%Targs
1,Dwayne Allen,2015,2012-3,25.5,"6'3""",265,0,0%,10%
2,Coby Fleener,2015,2012-2,26.9,"6'6""",251,0,0%,11%
3,Jack Doyle,2015,2013-U,25.3,"6'6""",267,0,0%,3%
4,Erik Swoope,R/F,2014-U,23.3,"6'5""",243,0,0%,0%
5,Sean McGrath,0,2012-U,27.7,"6'5""",259,0,0%,0%
6,Justin Sinz,2017,0,0,0,0,0,0%,0%
,,,,,,,,,
