Quarterbacks,,,,,,,,,
,,,,,,,,,
Depth,Player,Contract,Draft,Age,Ht,Wt,Status,%DB,%Runs
1,Tony Romo,2019,2003-U,35.3,"6'2""",230,0,97%,6%
2,Brandon Weeden,2015,2012-1,31.8,"6'4""",228,0,3%,0%
3,Dustin Vaughan,2016,2014-U,24.5,"6'5""",240,0,0%,0%
4,Jameill Showers,2017,0,0,0,0,0,0%,0%
,,,,,,,,,
Halfbacks,,,,,,,,,
,,,,,,,,,
Depth,Player,Contract,Draft,Age,Ht,Wt,Status,%Runs,%Targs
1,Joseph Randle,2016,2013-5,23.6,"6'0""",210,0,54%,4%
2,Darren McFadden,2016,2008-1,28,"6'1""",220,0,25%,2%
3,Lance Dunbar,2015,2012-U,25.5,"5'8""",195,0,14%,10%
4,Gus Johnson,2017,2015-U,22,"5'10""",215,0,0%,1%
5,Michael Hill,0,2013-U,26.2,"5'10""",210,0,0%,0%
6,Ben Malena,0,2014-U,23.2,"5'8""",200,0,0%,0%
10,Ryan Williams,0,2011-2,25.3,"5'9""",208,IR,0%,0%
,,,,,,,,,
Fullbacks,,,,,,,,,
,,,,,,,,,
Depth,Player,Contract,Draft,Age,Ht,Wt,Status,%Runs,%Targs
1,Tyler Clutts,0,2010-U,30.7,"6'2""",250,0,0%,0%
2,Ray Agnew,0,1990-1,0,"5'10""",247,0,0%,0%
,,,,,,,,,
Wide Receivers,,,,,,,,,
,,,,,,,,,
Depth,Player,Contract,Draft,Age,Ht,Wt,Status,%Runs,%Targs
1,Dez Bryant,2019,2010-1,26.8,"6'2""",220,0,0%,28%
2,Terrance Williams,2016,2013-3,25.9,"6'2""",208,0,0%,15%
3,Cole Beasley,2018,2012-U,26.3,"5'8""",180,0,0%,14%
4,Devin Street,2017,2014-5,24.4,"6'3""",200,0,0%,2%
5,Lucky Whitehead,2017,2015-U,23.2,"5'9""",180,0,0%,1%
6,A.J. Jenkins,0,2012-1,24.8,"6'1""",195,0,0%,0%
7,Antwan Goodley,2017,2015-U,23.9,"5'10""",205,0,0%,0%
8,Nick Harwell,2017,0,0,0,0,0,0%,0%
9,David Porter,0,0,22.6,"6'0""",197,0,0%,0%
10,Phil Bates,0,2010-U,25.9,"6'2""",220,0,0%,0%
11,Clyde Gates,0,2011-4,29.2,"6'0""",197,0,0%,0%
,,,,,,,,,
Tight Ends,,,,,,,,,
,,,,,,,,,
Depth,Player,Contract,Draft,Age,Ht,Wt,Status,%Runs,%Targs
1,Jason Witten,2017,2003-3,33.3,"6'6""",263,0,0%,18%
2,Gavin Escobar,2016,2013-2,24.5,"6'6""",260,0,0%,5%
3,James Hanna,2015,2012-6,26.1,"6'4""",260,0,0%,1%
4,Geoff Swaim,2018,2015-7,21.9,"6'4""",260,0,0%,0%
5,Brandon Barden,0,2012-U,26.4,"6'4""",253,0,0%,0%
,,,,,,,,,
