Quarterbacks,,,,,,,,,
,,,,,,,,,
Depth,Player,Contract,Draft,Age,Ht,Wt,Status,%DB,%Runs
1,Ryan Tannehill,2020,2012-1,27,"6'4""",220,0,100%,13%
2,Matt Moore,2015,2007-U,31,"6'3""",220,0,1%,0%
3,McLeod Bethel-Thompson,R/F,2012-U,27.1,"6'3""",236,0,0%,0%
4,Josh Freeman,0,2009-1,27.6,"6'6""",248,0,0%,0%
,,,,,,,,,
Halfbacks,,,,,,,,,
,,,,,,,,,
Depth,Player,Contract,Draft,Age,Ht,Wt,Status,%Runs,%Targs
1,Lamar Miller,2015,2012-4,24.3,"5'10""",225,0,62%,9%
2,Damien Williams,2016,2014-U,23.3,"5'11""",225,0,12%,3%
3,Jay Ajayi,2018,2015-5,22.2,"6'0""",228,0,9%,2%
4,LaMichael James,2015,2012-2,25.8,"5'9""",200,0,3%,1%
5,Mike Gillislee,2016,2013-5,24.8,"5'11""",219,0,0%,0%
6,Demitrius Bronson,0,0,0,0,0,0,0%,0%
,,,,,,,,,
Wide Receivers,,,,,,,,,
,,,,,,,,,
Depth,Player,Contract,Draft,Age,Ht,Wt,Status,%Runs,%Targs
1,Jarvis Landry,2017,2014-2,22.7,"5'11""",202,0,1%,24%
2,Greg Jennings,2016,2006-2,31.9,"6'0""",198,0,0%,9%
3,Kenny Stills,2016,2013-5,23.3,"6'0""",198,0,1%,14%
4,DeVante Parker,2018,2015-1,22.6,"6'3""",218,Inj,0%,16%
5,Rishard Matthews,2015,2012-7,25.8,"6'0""",217,0,0%,1%
6,Matt Hazel,0,2014-6,23.5,"6'1""",205,0,0%,0%
7,LaRon Byrd,0,2012-U,26,"6'4""",230,0,0%,0%
8,Damarr Aultman,2017,2015-U,23.6,"5'11""",208,0,0%,0%
9,Christion Jones,2017,0,0,0,0,0,0%,0%
10,Cobi Hamilton,0,2013-6,24.7,"6'2""",201,0,0%,0%
11,Kevin Cone,0,2011-U,27.4,"6'3""",216,0,0%,0%
12,Tyler McDonald,0,0,0,0,0,0,0%,0%
16,Tommy Streeter,0,2012-6,25.8,"6'5""",216,IR,0%,0%
,,,,,,,,,
Tight Ends,,,,,,,,,
,,,,,,,,,
Depth,Player,Contract,Draft,Age,Ht,Wt,Status,%Runs,%Targs
1,Jordan Cameron,2016,2011-4,27,"6'5""",260,0,0%,14%
2,Dion Sims,2016,2013-4,24.5,"6'4""",268,0,0%,6%
3,Gerell Robinson,0,0,0,0,0,0,0%,1%
4,Jake Stoneburner,R/F,2013-U,26,"6'3""",250,0,0%,0%
5,Tim Semisch,2017,0,0,0,0,0,0%,0%
,,,,,,,,,
