Quarterbacks,,,,,,,,,
,,,,,,,,,
Depth,Player,Contract,Draft,Age,Ht,Wt,Status,%DB,%Runs
1,Sam Bradford,2015,2010-1,27.8,"6'4""",224,0,97%,9%
2,Mark Sanchez,2016,2009-1,28.7,"6'2""",225,0,3%,1%
3,Matt Barkley,2016,2013-4,24.9,"6'2""",227,0,0%,0%
4,Tim Tebow,2015,2010-1,28,"6'3""",245,0,0%,0%
,,,,,,,,,
Halfbacks,,,,,,,,,
,,,,,,,,,
Depth,Player,Contract,Draft,Age,Ht,Wt,Status,%Runs,%Targs
1,DeMarco Murray,2019,2011-3,27.5,"6'0""",217,0,47%,6%
2,Darren Sproles,2016,2005-4,32.1,"5'6""",190,0,11%,10%
3,Ryan Mathews,2017,2010-1,27.8,"6'0""",220,0,33%,3%
4,Kenjon Barner,R/F,2013-6,26.3,"5'9""",195,0,0%,0%
5,Raheem Mostert,2017,2015-U,23.3,"5'10""",195,0,0%,0%
10,Matthew Tucker,R/F,2013-U,24.2,"6'1""",227,IR,0%,0%
,,,,,,,,,
Wide Receivers,,,,,,,,,
,,,,,,,,,
Depth,Player,Contract,Draft,Age,Ht,Wt,Status,%Runs,%Targs
1,Jordan Matthews,2017,2014-2,23.1,"6'3""",212,0,0%,24%
2,Nelson Agholor,2018,2015-1,22.2,"6'0""",198,0,0%,19%
3,Riley Cooper,2018,2010-5,27.9,"6'4""",230,0,0%,7%
4,Josh Huff,2017,2014-3,23.8,"5'11""",206,0,0%,4%
5,Miles Austin,2015,2006-U,31.1,"6'2""",215,0,0%,3%
6,Seyi Ajirotutu,2015,2010-U,28.2,"6'3""",215,0,0%,1%
7,Jeff Maehl,2015,2011-U,26.4,"6'0""",184,0,0%,0%
8,Rasheed Bailey,2017,2015-U,22,"6'1""",205,0,0%,0%
9,Quron Pratt,R/F,0,0,0,0,0,0%,0%
10,G.J. Kinne,R/F,2012-U,26.7,"6'2""",218,0,0%,0%
11,Josh Reese,2017,0,0,0,0,0,0%,0%
12,Kevin Monangai,0,0,0,0,0,0,0%,0%
13,Michael X. Johnson,0,0,0,0,0,0,0%,0%
14,Freddie Martino,0,2014-U,23.9,"6'0""",195,0,0%,0%
,,,,,,,,,
Tight Ends,,,,,,,,,
,,,,,,,,,
Depth,Player,Contract,Draft,Age,Ht,Wt,Status,%Runs,%Targs
1,Brent Celek,2016,2007-5,30.5,"6'4""",255,0,0%,7%
2,Zach Ertz,2016,2013-2,24.7,"6'5""",250,0,0%,16%
3,Trey Burton,2016,2014-U,23.8,"6'3""",235,0,0%,1%
4,Andrew Gleichert,2017,0,0,0,0,0,0%,0%
5,Eric Tomlinson,2017,0,0,0,0,0,0%,0%
6,Justin Tukes,2017,0,0,0,0,0,0%,0%
,,,,,,,,,
