1,Oakland Raiders vs RBs,0,0,0,26.3,107,0.9,4.9,47.6,0.4,7.4,0.1,0,0.1,23.96
2,Tennessee Titans vs RBs,0,0,0,28.4,125.2,1.1,3.9,27.4,0.3,5.3,0,0,0.1,23.01
3,Atlanta Falcons vs RBs,0,0,0,24.3,99.4,1.2,5.5,49.1,0.2,7.3,0,0.1,0.2,22.84
4,New Orleans Saints vs RBs,0,0,0,23.7,113.3,0.9,4.5,54.3,0.1,6.5,0,0,0.1,22.63
5,Jacksonville Jaguars vs RBs,0,0,0,27,109.6,0.9,6.1,41.9,0.3,7.6,0,0,0.1,21.65
6,Cincinnati Bengals vs RBs,0,0,0,23.3,100.5,0.9,5.8,51.4,0.1,7.2,0,0.1,0.2,21.31
7,New York Giants vs RBs,0,0,0,22.3,107.9,0.8,4.8,47.4,0.1,6.4,0,0,0.2,20.4
8,Philadelphia Eagles vs RBs,0,0,0,25.8,92.4,0.8,4.9,40.3,0.5,6.1,0,0,0.4,20.39
9,Minnesota Vikings vs RBs,0,0,0,23.8,106.1,0.6,5.9,44.2,0.3,7,0,0,0.1,20.16
10,Tampa Bay Buccaneers vs RBs,0,0,0,25.9,101.6,0.8,5.6,38.7,0.3,7.3,0,0,0.3,20.15
11,Indianapolis Colts vs RBs,0,0,0,23.1,96.8,0.9,4.7,49.2,0.1,6.3,0,0,0.3,19.73
12,Cleveland Browns vs RBs,0,0,0,26.8,119.1,0.6,3.8,31.4,0.2,5.9,0,0,0.2,19.56
13,Chicago Bears vs RBs,0,0,0,22.2,95.9,0.7,5.6,46.5,0.2,7.8,0,0,0,19.49
14,Miami Dolphins vs RBs,0,0,0,23.3,95.9,0.6,4.8,35.4,0.3,6.8,0.1,0.1,0.1,19.13
15,Dallas Cowboys vs RBs,0,0,0,21.2,94.5,0.8,4.6,39.4,0.1,6.3,0,0.1,0.3,18.64
16,Carolina Panthers vs RBs,0,0,0,21.5,96.9,0.7,5.3,32.4,0.2,7.3,0.1,0,0.3,18.06
17,New England Patriots vs RBs,0,0,0,22.8,91.5,0.4,5.4,42.4,0.4,7.9,0,0.1,0.1,17.76
18,Green Bay Packers vs RBs,0,0,0,23.8,97.5,0.5,4.6,42.5,0.1,6.9,0,0,0.2,17.38
19,San Diego Chargers vs RBs,0,0,0,23.2,94.1,0.4,5.1,39,0.3,6.9,0,0,0.3,16.93
20,Houston Texans vs RBs,0,0,0,22.6,92.6,0.4,4.8,41.9,0.2,6.4,0,0,0.1,16.58
21,Pittsburgh Steelers vs RBs,0,0,0,19.6,84.6,0.5,5.3,40.9,0.3,6.8,0,0,0.3,16.54
22,Kansas City Chiefs vs RBs,0,0,0,23.4,115,0.3,3.5,28.9,0.1,5.1,0,0,0.1,16.14
23,Denver Broncos vs RBs,0,0,0,18.3,65.1,0.4,6.2,49.6,0.4,8.7,0,0.1,0.1,15.98
24,New York Jets vs RBs,0,0,0,21.4,82.4,0.6,4.3,28.8,0.2,6.5,0,0,0.1,15.88
25,San Francisco 49ers vs RBs,0,0,0,22.1,89.9,0.4,4.4,29.6,0.1,6.6,0.1,0,0.1,15.58
26,St. Louis Rams vs RBs,0,0,0,22.9,88.6,0.5,4.9,39.1,0,6.4,0.1,0,0.3,15.51
27,Buffalo Bills vs RBs,0,0,0,21.6,86.3,0.5,4.4,33.4,0.1,6.8,0,0,0.1,15.09
28,Washington Redskins vs RBs,0,0,0,22.1,87.8,0.6,4.2,30.3,0.1,5.8,0.1,0.1,0.5,15.05
29,Arizona Cardinals vs RBs,0,0,0,20.3,83.1,0.5,4.3,30.5,0.1,6.3,0,0,0.1,14.86
30,Seattle Seahawks vs RBs,0,0,0,19.9,70.8,0.5,5.6,45.1,0.1,7.6,0,0,0.3,14.46
31,Detroit Lions vs RBs,0,0,0,19.3,61.1,0.4,5.8,47.9,0.2,7.4,0,0.1,0.3,14.28
32,Baltimore Ravens vs RBs,0.3,0.1,0,20.4,71.8,0.3,4.9,31.6,0.1,6.6,0,0,0.2,12.85
