1,Chicago Bears vs TEs,0,0,0,0.1,-0.1,0,4.9,56.6,0.8,6.8,0,0,0,10.52
2,New York Jets vs TEs,0,0,0,0,0,0,4.7,50.6,0.9,6.5,0,0,0,10.31
3,Washington Redskins vs TEs,0,0,0,0,0,0,5.1,58.4,0.7,7.4,0,0.1,0,10.09
4,Indianapolis Colts vs TEs,0,0,0,0,0,0,5.2,59.6,0.6,7.2,0,0,0,9.71
5,Dallas Cowboys vs TEs,0,0,0,0.1,0,0,6.8,65.8,0.6,9.6,0,0,0.3,9.7
6,Arizona Cardinals vs TEs,0,0,0,0,0,0,5.3,67.8,0.5,7.4,0,0,0.1,9.66
7,Denver Broncos vs TEs,0,0,0,0.1,0.1,0,5.9,58.2,0.6,8.4,0,0,0,9.21
8,Tennessee Titans vs TEs,0,0,0,0.1,0,0,4.6,49.9,0.7,6.8,0,0,0,9.12
9,New York Giants vs TEs,0,0,0,0.4,0.9,0,4.3,54.9,0.6,7.1,0,0.1,0.1,8.96
10,Oakland Raiders vs TEs,0,0,0,0,0,0,4.2,51.3,0.6,6.3,0,0,0.1,8.75
11,New England Patriots vs TEs,0,0,0,0,0,0,5,62.9,0.4,7.8,0,0.1,0,8.66
12,Pittsburgh Steelers vs TEs,0,0,0,0,0,0,4.1,45.3,0.7,6.5,0,0,0,8.65
13,San Francisco 49ers vs TEs,0,0,0,0.1,0.2,0,4.6,53,0.6,7.8,0,0,0.1,8.57
14,Seattle Seahawks vs TEs,0,0,0,0.1,0,0,4,39.1,0.7,6.3,0,0,0.1,7.91
15,Jacksonville Jaguars vs TEs,0,0,0,0,0,0,4.6,54.1,0.4,7.4,0,0,0.1,7.91
16,Cincinnati Bengals vs TEs,0,0,0,0,0,0,4.4,54.1,0.3,7.6,0,0.1,0,7.41
17,Detroit Lions vs TEs,0,0,0,0,0,0,5.3,50.3,0.4,7.4,0,0,0,7.28
18,Tampa Bay Buccaneers vs TEs,0,0,0,0,0,0,5.9,58.3,0.2,7.9,0,0,0.1,6.83
19,Baltimore Ravens vs TEs,0,0,0,0,0,0,4.2,48.5,0.3,6.4,0,0.1,0.1,6.73
20,Carolina Panthers vs TEs,0,0,0,0,0,0,4.2,48.1,0.3,7,0,0,0,6.68
21,Kansas City Chiefs vs TEs,0,0,0,0,0,0,3.4,33.4,0.5,5.5,0,0.1,0,6.46
22,Minnesota Vikings vs TEs,0,0,0,0,0,0,4.4,49.1,0.3,6.6,0,0,0.1,6.28
23,Miami Dolphins vs TEs,0,0,0,0,0,0,3.3,41.5,0.4,5.8,0,0,0.1,6.28
24,Green Bay Packers vs TEs,0,0,0,0,0,0,4.6,55.2,0.1,7.4,0,0,0,6.27
25,Atlanta Falcons vs TEs,0,0,0,0,0,0,4.1,43.6,0.3,6.4,0,0.1,0.1,5.99
26,Cleveland Browns vs TEs,0,0,0,0,0,0,4.4,47.4,0.2,6.3,0,0,0,5.86
27,San Diego Chargers vs TEs,0,0,0,0,0,0,3.8,43.3,0.2,6.1,0,0,0,5.83
28,New Orleans Saints vs TEs,0,0,0,0,0,0,4.3,36.3,0.3,6.8,0,0.1,0,5.26
29,Philadelphia Eagles vs TEs,0,0,0,0,0,0,3.9,49.2,0.1,6.6,0,0,0.1,5.17
30,St. Louis Rams vs TEs,0,0,0,0.1,0.1,0,4.2,44.6,0.1,6.9,0,0,0.1,5.09
31,Houston Texans vs TEs,0,0,0,0,0,0,3.6,38.8,0.3,6.2,0,0,0.2,5.01
32,Buffalo Bills vs TEs,0,0,0,0,0,0,3.8,34.7,0.1,6.3,0,0,0.1,4.09
