Quarterbacks,,,,,,,,,
,,,,,,,,,
Depth,Player,Contract,Draft,Age,Ht,Wt,Status,%DB,%Runs
1,Matt Ryan,2018,2008-1,30.2,"6'4""",217,0,100%,7%
2,T.J. Yates,2015,2011-5,28.2,"6'4""",217,0,1%,0%
3,Rex Grossman,2015,2003-1,35,"6'1""",225,0,0%,0%
4,Sean Renfree,2016,2013-7,25.3,"6'5""",225,0,0%,0%
,,,,,,,,,
Halfbacks,,,,,,,,,
,,,,,,,,,
Depth,Player,Contract,Draft,Age,Ht,Wt,Status,%Runs,%Targs
1,Tevin Coleman,2018,2015-3,22.3,"6'1""",210,0,48%,5%
2,Devonta Freeman,2017,2014-4,23.4,"5'8""",206,0,37%,9%
3,Antone Smith,0,2009-U,29.9,"5'9""",192,0,5%,1%
4,Terron Ward,2017,2015-U,23.5,"5'7""",201,0,0%,0%
5,Jerome Smith,2016,0,24.3,"6'0""",226,0,0%,0%
6,Michael Ford,0,2013-U,25.2,"5'10""",216,0,0%,0%
10,Evan Royster,0,2011-6,27.7,"6'0""",207,IR,0%,0%
,,,,,,,,,
Fullbacks,,,,,,,,,
,,,,,,,,,
Depth,Player,Contract,Draft,Age,Ht,Wt,Status,%Runs,%Targs
1,Collin Mooney,0,2011-U,29.4,"5'10""",238,0,0%,2%
2,Patrick DiMarco,2016,2011-U,26.3,"6'1""",234,0,0%,0%
,,,,,,,,,
Wide Receivers,,,,,,,,,
,,,,,,,,,
Depth,Player,Contract,Draft,Age,Ht,Wt,Status,%Runs,%Targs
1,Julio Jones,2015,2011-1,26.5,"6'3""",220,0,0%,29%
2,Roddy White,2017,2005-1,33.8,"6'0""",211,0,0%,17%
3,Leonard Hankerson,2015,2011-3,27.3,"6'2""",211,0,0%,12%
4,Justin Hardy,2018,2015-4,23.6,"5'10""",192,0,0%,5%
5,Devin Hester,2016,2006-2,32.8,"5'11""",190,0,2%,3%
6,Eric Weems,2016,2007-U,30.1,"5'9""",195,0,0%,1%
7,Bernard Reedy,R/F,2014-U,23.6,"5'9""",175,0,0%,0%
8,Nick Williams,0,2013-U,24.7,"5'10""",184,0,0%,0%
9,Marquez Clark,2017,0,0,0,0,0,0%,0%
10,Carlton Mitchell,0,2010-6,27.3,"6'2""",211,0,0%,0%
11,John Harris,0,0,0,0,0,0,0%,0%
,,,,,,,,,
Tight Ends,,,,,,,,,
,,,,,,,,,
Depth,Player,Contract,Draft,Age,Ht,Wt,Status,%Runs,%Targs
1,Jacob Tamme,2016,2008-4,30.4,"6'3""",230,0,0%,12%
2,Levine Toilolo,2016,2013-4,24,"6'8""",265,0,0%,3%
3,Tony Moeaki,2015,2010-3,28.2,"6'3""",252,0,0%,2%
4,Mickey Shuler,R/F,2010-7,28.8,"6'4""",247,0,0%,0%
5,D.J. Tialavea,0,0,0,0,0,0,0%,0%
8,Beau Gardner,2017,2015-U,25.6,"6'4""",240,IR,0%,0%
,,,,,,,,,
