Quarterbacks,,,,,,,,,
,,,,,,,,,
Depth,Player,Contract,Draft,Age,Ht,Wt,Status,%DB,%Runs
1,Blake Bortles,2017,2014-1,23.6,"6'5""",232,0,100%,16%
2,Chad Henne,2015,2008-2,30.1,"6'3""",230,0,1%,0%
3,Stephen Morris,2016,2014-U,22.9,"6'2""",218,0,0%,0%
4,Jeff Tuel,0,2013-U,24.5,"6'3""",221,0,0%,0%
,,,,,,,,,
Halfbacks,,,,,,,,,
,,,,,,,,,
Depth,Player,Contract,Draft,Age,Ht,Wt,Status,%Runs,%Targs
1,T.J. Yeldon,2018,2015-2,21.9,"6'1""",226,0,57%,7%
2,Denard Robinson,2016,2013-5,24.9,"6'0""",197,0,19%,7%
3,Toby Gerhart,2016,2010-2,28.4,"6'0""",231,0,7%,4%
4,Corey Grant,2017,2015-U,23.6,"5'11""",205,0,1%,0%
5,Storm Johnson,2017,2014-7,23.1,"6'0""",216,0,0%,0%
6,Bernard Pierce,0,2012-3,24.2,"6'0""",230,0,0%,0%
,,,,,,,,,
Wide Receivers,,,,,,,,,
,,,,,,,,,
Depth,Player,Contract,Draft,Age,Ht,Wt,Status,%Runs,%Targs
1,Allen Robinson,2017,2014-2,22,"6'3""",210,0,0%,25%
2,Allen Hurns,2016,2014-U,23.7,"6'3""",195,0,1%,15%
3,Marqise Lee,2017,2014-2,23.7,"6'0""",192,0,0%,11%
4,Rashad Greene,2018,2015-5,22.9,"5'11""",182,0,0%,5%
5,Neal Sterling,2018,2015-7,23.6,"6'4""",235,0,0%,1%
6,Tony X. Washington,R/F,0,0,0,0,0,0%,0%
7,Tandon Doss,2015,2011-4,25.9,"6'2""",205,0,0%,0%
8,Bryan Walters,0,2010-U,27.8,"6'0""",190,0,0%,0%
9,Kasey Closs,2017,0,0,0,0,0,0%,0%
10,Greg Jenkins,0,2013-U,26,"6'1""",205,0,0%,0%
11,Erik Lora,0,2014-U,24.4,"5'10""",202,0,0%,0%
14,Damian Copeland,2016,0,0,0,0,IR,0%,0%
15,Arrelious Benn,R/F,2010-2,26.9,"6'2""",220,IR,0%,0%
16,Justin Blackmon,2015,2012-1,25.6,"6'1""",210,susp,0%,0%
,,,,,,,,,
Tight Ends,,,,,,,,,
,,,,,,,,,
Depth,Player,Contract,Draft,Age,Ht,Wt,Status,%Runs,%Targs
1,Julius Thomas,2019,2011-4,27.1,"6'5""",260,0,0%,18%
2,Marcedes Lewis,2015,2006-1,31.2,"6'6""",272,0,0%,6%
3,Clay Harbor,2015,2010-4,28.1,"6'3""",255,0,0%,1%
4,Nic Jacobs,2015,2014-U,23.8,"6'5""",269,0,0%,0%
5,Ben Koyack,2018,2015-7,22.3,"6'5""",255,0,0%,0%
6,Connor Hamlett,2017,0,0,0,0,0,0%,0%
,,,,,,,,,
