Quarterbacks,,,,,,,,,
,,,,,,,,,
Depth,Player,Contract,Draft,Age,Ht,Wt,Status,%DB,%Runs
1,Ryan Fitzpatrick,2015,2005-7,32.7,"6'2""",223,0,62%,9%
2,Geno Smith,2016,2013-2,24.8,"6'3""",221,Inj,38%,5%
3,Bryce Petty,2018,2015-4,24.2,"6'3""",230,0,0%,0%
4,Jake Heaps,2017,0,0,0,0,0,0%,0%
5,Matt Flynn,2015,2008-7,30.1,"6'2""",230,0,0%,0%
,,,,,,,,,
Halfbacks,,,,,,,,,
,,,,,,,,,
Depth,Player,Contract,Draft,Age,Ht,Wt,Status,%Runs,%Targs
1,Chris Ivory,2015,2010-U,27.4,"6'0""",222,0,50%,6%
2,Bilal Powell,2015,2011-4,26.8,"5'10""",204,0,14%,8%
3,Stevan Ridley,2015,2011-3,26.5,"5'11""",220,Inj,12%,0%
4,Zac Stacy,2016,2013-5,24.3,"5'9""",224,0,8%,1%
5,Daryl Richardson,2015,2012-7,25.3,"5'10""",196,0,0%,0%
,,,,,,,,,
Fullbacks,,,,,,,,,
,,,,,,,,,
Depth,Player,Contract,Draft,Age,Ht,Wt,Status,%Runs,%Targs
1,Tommy Bohanon,2016,2013-7,24.9,"6'1""",247,0,1%,1%
,,,,,,,,,
Wide Receivers,,,,,,,,,
,,,,,,,,,
Depth,Player,Contract,Draft,Age,Ht,Wt,Status,%Runs,%Targs
1,Brandon Marshall,2017,2006-4,31.4,"6'4""",230,0,0%,24%
2,Eric Decker,2018,2010-3,28.4,"6'3""",214,0,0%,23%
3,Devin Smith,2018,2015-2,25,"6'0""",196,Inj,0%,11%
4,Quincy Enunwa,2015,2014-6,23.2,"6'2""",225,0,0%,5%
5,Jeremy Kerley,2018,2011-5,26.7,"5'9""",188,0,1%,4%
6,DeVier Posey,2015,2012-3,25.4,"6'1""",210,0,0%,0%
7,T.J. Graham,2015,2012-3,26,"5'11""",188,0,0%,0%
8,Chris Owusu,2015,2012-U,25.6,"6'2""",200,0,0%,0%
9,Shaq Evans,2017,2014-4,24.4,"6'1""",213,0,0%,0%
10,Saalim Hakim,2015,2012-U,25.5,"5'11""",188,0,0%,0%
11,Walt Powell,2017,2014-6,23.7,"6'0""",189,0,0%,0%
12,Jonathon Rumph,2017,0,0,0,0,0,0%,0%
13,Austin Hill,2017,2015-U,24.1,"6'3""",212,0,0%,0%
,,,,,,,,,
Tight Ends,,,,,,,,,
,,,,,,,,,
Depth,Player,Contract,Draft,Age,Ht,Wt,Status,%Runs,%Targs
1,Jace Amaro,2017,2014-2,23.1,"6'5""",265,0,0%,13%
2,Jeff Cumberland,2016,2010-U,28.3,"6'4""",260,0,0%,3%
3,Kellen Davis,2015,2008-5,29.8,"6'7""",265,0,0%,1%
4,Wes Saxton,2017,2015-U,22,"6'4""",235,0,0%,0%
5,Steve Maneri,0,2010-U,27.4,"6'7""",280,0,0%,0%
6,Arthur Lynch,0,2014-5,25.1,"6'5""",252,0,0%,0%
7,Matt LaCosse,0,0,0,0,0,0,0%,0%
8,Zach Sudfeld,2015,2013-U,26.3,"6'7""",260,IR,0%,0%
,,,,,,,,,
