Quarterbacks,,,,,,,,,
,,,,,,,,,
Depth,Player,Contract,Draft,Age,Ht,Wt,Status,%DB,%Runs
1,Matthew Stafford,2017,2009-1,27.5,"6'3""",234,0,100%,9%
2,Dan Orlovsky,2015,2005-5,32,"6'5""",218,0,1%,0%
3,Kellen Moore,2016,2012-U,26.1,"6'0""",200,0,0%,0%
4,Garrett Gilbert,2017,2014-6,24.1,"6'4""",221,0,0%,0%
,,,,,,,,,
Halfbacks,,,,,,,,,
,,,,,,,,,
Depth,Player,Contract,Draft,Age,Ht,Wt,Status,%Runs,%Targs
1,Joique Bell,2016,2010-U,29,"5'11""",229,0,47%,7%
2,Ameer Abdullah,2018,2015-2,22.2,"5'9""",200,0,33%,12%
3,Theo Riddick,2016,2013-6,24.3,"5'9""",200,0,4%,7%
4,Zach Zenner,2017,2015-U,23.9,"5'11""",223,0,4%,0%
5,George Winn,2015,2013-U,24.7,"5'11""",215,0,0%,0%
6,Desmond Martin,2017,0,0,0,0,0,0%,0%
,,,,,,,,,
Fullbacks,,,,,,,,,
,,,,,,,,,
Depth,Player,Contract,Draft,Age,Ht,Wt,Status,%Runs,%Targs
1,Michael Burton,2018,2015-5,23.5,"6'0""",230,0,1%,1%
2,Emil Igwenagu,R/F,2012-U,26.4,"6'2""",245,0,0%,0%
,,,,,,,,,
Wide Receivers,,,,,,,,,
,,,,,,,,,
Depth,Player,Contract,Draft,Age,Ht,Wt,Status,%Runs,%Targs
1,Calvin Johnson,2019,2007-1,29.9,"6'5""",236,0,0%,27%
2,Golden Tate,2018,2010-2,27,"5'10""",202,0,1%,22%
3,Corey Fuller,2015,2013-6,25.1,"6'2""",200,0,1%,4%
4,Lance Moore,2015,2005-U,31.9,"5'9""",190,0,0%,1%
5,Jeremy Ross,2015,2011-U,27.4,"6'0""",215,0,0%,1%
6,T.J. Jones,2017,2014-6,23.1,"6'0""",185,0,0%,0%
7,Ryan Broyles,2015,2012-2,27.3,"5'10""",195,0,0%,0%
8,Greg Salas,0,2011-4,27,"6'2""",210,0,0%,0%
9,Vernon Johnson,2017,2015-U,23.3,"6'0""",196,0,0%,0%
10,Andrew Peacock,R/F,0,0,0,0,0,0%,0%
,,,,,,,,,
Tight Ends,,,,,,,,,
,,,,,,,,,
Depth,Player,Contract,Draft,Age,Ht,Wt,Status,%Runs,%Targs
1,Brandon Pettigrew,2017,2009-1,30.5,"6'5""",275,0,0%,2%
2,Eric Ebron,2017,2014-1,22.3,"6'4""",265,0,0%,15%
3,Joseph Fauria,2015,2013-U,25.6,"6'7""",267,0,0%,3%
4,Casey Pierce,2017,0,0,0,0,0,0%,0%
5,Jacob Maxwell,0,0,0,0,0,0,0%,0%
8,Jordan Thompson,R/F,2013-U,26.1,"6'4""",257,IR,0%,0%
,,,,,,,,,
