Quarterbacks,,,,,,,,,
,,,,,,,,,
Depth,Player,Contract,Draft,Age,Ht,Wt,Status,%DB,%Runs
1,Aaron Rodgers,2019,2005-1,31.7,"6'2""",225,0,100%,11%
2,Scott Tolzien,2015,2011-U,27.9,"6'2""",213,0,1%,0%
3,Brett Hundley,2018,2015-5,22.2,"6'3""",226,0,0%,0%
4,Matt Blanchard,0,2012-U,26.4,"6'3""",223,0,0%,0%
,,,,,,,,,
Halfbacks,,,,,,,,,
,,,,,,,,,
Depth,Player,Contract,Draft,Age,Ht,Wt,Status,%Runs,%Targs
1,Eddie Lacy,2016,2013-2,24.6,"5'11""",234,0,65%,11%
2,James Starks,2015,2010-6,29.5,"6'2""",218,0,15%,4%
3,John Crockett,2017,2015-U,23.5,"6'0""",217,Inj,1%,0%
4,Rajion Neal,R/F,2014-U,23.4,"5'11""",220,0,0%,0%
5,Alonzo Harris,2017,2015-U,22.7,"6'1""",237,0,0%,0%
,,,,,,,,,
Fullbacks,,,,,,,,,
,,,,,,,,,
Depth,Player,Contract,Draft,Age,Ht,Wt,Status,%Runs,%Targs
1,John Kuhn,2015,2006-U,32.9,"6'0""",250,0,4%,1%
2,Aaron Ripkowski,2018,2015-6,22.6,"6'1""",246,0,0%,0%
,,,,,,,,,
Wide Receivers,,,,,,,,,
,,,,,,,,,
Depth,Player,Contract,Draft,Age,Ht,Wt,Status,%Runs,%Targs
1,Randall Cobb,2018,2011-2,25,"5'10""",192,0,3%,26%
2,Davante Adams,2017,2014-2,22.6,"6'1""",215,0,0%,21%
3,Ty Montgomery,2018,2015-3,22.5,"6'0""",216,0,1%,13%
4,Jeff Janis,2017,2014-7,24.2,"6'3""",219,0,0%,5%
5,Jared Abbrederis,2017,2014-5,24.6,"6'1""",195,0,0%,1%
6,Myles White,R/F,2013-U,25.4,"6'0""",190,0,0%,1%
7,Javess Blue,2017,0,0,0,0,0,0%,0%
8,Jimmie Hunt,2017,2015-U,24.9,"6'0""",208,0,0%,0%
9,Larry Pinkard,2017,0,0,0,0,0,0%,0%
10,Ed Williams,0,0,0,0,0,0,0%,0%
16,Jordy Nelson,2018,2008-2,30.2,"6'3""",217,IR,0%,0%
,,,,,,,,,
Tight Ends,,,,,,,,,
,,,,,,,,,
Depth,Player,Contract,Draft,Age,Ht,Wt,Status,%Runs,%Targs
1,Richard Rodgers,2017,2014-3,23.5,"6'4""",257,0,0%,12%
2,Andrew Quarless,2015,2010-5,26.8,"6'4""",252,0,0%,5%
3,Kennard Backman,2018,2015-6,22.4,"6'3""",245,0,0%,1%
4,Justin Perillo,2015,2014-U,24.6,"6'3""",250,0,0%,0%
5,Mitchell Henry,2017,0,0,0,0,0,0%,0%
6,Harold Spears,0,0,0,0,0,0,0%,0%
,,,,,,,,,
