Quarterbacks,,,,,,,,,
,,,,,,,,,
Depth,Player,Contract,Draft,Age,Ht,Wt,Status,%DB,%Runs
1,Cam Newton,2020,2011-1,26.2,"6'5""",245,0,96%,21%
2,Derek Anderson,2015,2005-6,32.2,"6'6""",230,0,4%,1%
3,Joe Webb,0,2010-6,28.7,"6'4""",235,0,0%,0%
,,,,,,,,,
Halfbacks,,,,,,,,,
,,,,,,,,,
Depth,Player,Contract,Draft,Age,Ht,Wt,Status,%Runs,%Targs
1,Jonathan C. Stewart,2017,2008-1,28.4,"5'10""",235,0,48%,7%
2,Cameron Artis-Payne,2018,2015-5,23.1,"5'10""",220,0,14%,2%
3,Fozzy Whittaker,2016,2012-U,26.5,"5'10""",205,0,3%,1%
4,Jordan Todman,2015,2011-6,25.5,"5'10""",200,0,1%,0%
5,Brandon Wegher,2017,2015-U,24.7,"5'10""",215,0,0%,0%
,,,,,,,,,
Fullbacks,,,,,,,,,
,,,,,,,,,
Depth,Player,Contract,Draft,Age,Ht,Wt,Status,%Runs,%Targs
1,Mike Tolbert,2015,2008-U,29.7,"5'9""",250,0,9%,6%
2,Lee Ward,2017,0,0,0,0,0,0%,0%
,,,,,,,,,
Wide Receivers,,,,,,,,,
,,,,,,,,,
Depth,Player,Contract,Draft,Age,Ht,Wt,Status,%Runs,%Targs
1,Devin Funchess,2018,2015-2,21.2,"6'4""",225,0,0%,22%
2,Philly Brown,2016,2014-U,23.6,"5'11""",185,0,2%,14%
3,Jerricho Cotchery,2018,2004-4,33.1,"6'1""",205,0,0%,10%
4,Ted Ginn,2016,2007-1,30.3,"5'11""",185,0,1%,9%
5,Jarrett Boykin,2015,2012-U,25.8,"6'2""",215,0,0%,2%
6,Brenton Bersin,2015,2013-U,25.3,"6'3""",210,0,0%,1%
7,Marcus Lucas,R/F,2014-U,23.4,"6'4""",235,0,0%,0%
8,Mike Brown,R/F,2012-U,26.5,"5'10""",200,0,0%,0%
9,Damiere Byrd,2017,2015-U,22.5,"5'9""",175,0,0%,0%
10,DeAndre Presley,0,0,0,0,0,0,0%,0%
11,Paul Browning,0,2015-U,23,"6'2""",218,0,0%,0%
12,Avius Capers,0,0,0,0,0,0,0%,0%
15,Kelvin Benjamin,2017,2014-1,24.5,"6'5""",245,IR,0%,0%
16,Stephen Hill,R/F,2012-2,24.3,"6'4""",215,IR,0%,0%
,,,,,,,,,
Tight Ends,,,,,,,,,
,,,,,,,,,
Depth,Player,Contract,Draft,Age,Ht,Wt,Status,%Runs,%Targs
1,Greg Olsen,2018,2007-1,30.4,"6'5""",253,0,0%,22%
2,Ed Dickson,2017,2010-3,28,"6'4""",255,0,0%,5%
3,Brandon Williams,2015,2012-U,27.8,"6'4""",255,0,0%,1%
4,Richard Brockel,2015,2010-U,29,"6'1""",255,0,0%,0%
5,Scott Simonson,0,2014-U,23.3,"6'5""",250,0,0%,0%
6,Dallas Walker,0,0,0,0,0,0,0%,0%
,,,,,,,,,
