Quarterbacks,,,,,,,,,
,,,,,,,,,
Depth,Player,Contract,Draft,Age,Ht,Wt,Status,%DB,%Runs
1,Derek Carr,2017,2014-2,24.4,"6'3""",215,0,100%,9%
2,Christian Ponder,2015,2011-1,27.5,"6'2""",230,0,1%,0%
3,Matthew McGloin,2015,2013-U,25.7,"6'1""",210,0,0%,0%
4,Cody Fajardo,2017,2015-U,23.4,"6'2""",225,0,0%,0%
,,,,,,,,,
Halfbacks,,,,,,,,,
,,,,,,,,,
Depth,Player,Contract,Draft,Age,Ht,Wt,Status,%Runs,%Targs
1,Latavius Murray,2016,2013-6,25.6,"6'3""",230,0,62%,7%
2,Roy Helu,2016,2011-4,26.7,"5'11""",215,0,20%,10%
3,Trent Richardson,0,2012-1,24.1,"5'9""",230,0,5%,1%
4,Michael Dyer,2017,2015-U,24.8,"5'9""",220,0,0%,0%
5,George Atkinson,2015,2014-U,22.7,"6'1""",220,0,0%,0%
6,Taiwan Jones,2017,2011-4,27,"6'3""",252,0,0%,0%
,,,,,,,,,
Fullbacks,,,,,,,,,
,,,,,,,,,
Depth,Player,Contract,Draft,Age,Ht,Wt,Status,%Runs,%Targs
1,Marcel Reece,2016,2008-U,30.1,"6'1""",250,0,3%,4%
2,Jamize Olawale,2015,2012-U,26.3,"6'1""",240,0,0%,0%
,,,,,,,,,
Wide Receivers,,,,,,,,,
,,,,,,,,,
Depth,Player,Contract,Draft,Age,Ht,Wt,Status,%Runs,%Targs
1,Amari Cooper,2018,2015-1,21.1,"6'1""",210,0,1%,23%
2,Michael Crabtree,2015,2009-1,27.9,"6'1""",215,0,0%,19%
3,Rod Streater,2015,2012-U,27.5,"6'2""",195,0,0%,9%
4,Andre Holmes,2015,2011-U,27.1,"6'4""",210,0,0%,7%
5,Kenbrell Thompkins,2015,2013-U,27,"6'1""",195,0,0%,1%
6,Brice Butler,2016,2013-7,25.5,"6'3""",215,0,0%,0%
7,Josh Harper,2017,2015-U,23.7,"6'1""",185,0,0%,0%
8,Kris Durham,0,2011-4,27.4,"6'5""",215,0,0%,0%
9,Trindon Holliday,2015,2010-6,29.3,"5'5""",165,0,0%,0%
10,Seth Roberts,R/F,0,0,0,0,0,0%,0%
11,Milton Williams,2017,0,0,0,0,0,0%,0%
12,Devon Wylie,0,2012-4,26.9,"5'9""",185,0,0%,0%
16,Andre Debose,2018,2015-7,0,"6'0""",190,IR,0%,0%
,,,,,,,,,
Tight Ends,,,,,,,,,
,,,,,,,,,
Depth,Player,Contract,Draft,Age,Ht,Wt,Status,%Runs,%Targs
1,Mychal Rivera,2016,2013-6,24.9,"6'3""",245,0,0%,10%
2,Lee Smith,2017,2011-5,27.7,"6'6""",265,0,0%,2%
3,Clive Walford,2018,2015-3,23.8,"6'4""",250,0,0%,7%
4,Brian Leonhardt,2015,2013-U,25.4,"6'5""",255,0,0%,0%
5,Gabe Holmes,2017,0,0,0,0,0,0%,0%
,,,,,,,,,
