Quarterbacks,,,,,,,,,
,,,,,,,,,
Depth,Player,Contract,Draft,Age,Ht,Wt,Status,%DB,%Runs
1,Nick Foles,2017,2012-3,26.6,"6'6""",243,0,97%,8%
2,Austin Davis,2015,2012-U,26.2,"6'2""",221,0,3%,0%
3,Sean Mannion,2018,2015-3,23.3,"6'6""",233,0,0%,0%
4,Case Keenum,2015,2012-U,27.5,"6'1""",205,0,0%,0%
,,,,,,,,,
Halfbacks,,,,,,,,,
,,,,,,,,,
Depth,Player,Contract,Draft,Age,Ht,Wt,Status,%Runs,%Targs
1,Todd Gurley,2018,2015-1,21,"6'1""",227,0,54%,6%
2,Tre Mason,2017,2014-3,22,"5'8""",207,0,27%,4%
3,Benny Cunningham,2015,2013-U,25.1,"5'10""",217,0,7%,9%
4,Chase Reynolds,2015,2012-U,27.8,"6'0""",205,0,0%,0%
5,Isaiah Pead,2015,2012-2,25.7,"5'10""",204,0,0%,0%
6,Trey Watts,2016,2014-U,24.5,"5'9""",208,susp4,0%,0%
7,Malcolm Brown,2017,2015-U,22.2,"5'11""",224,0,0%,0%
8,Zach Laskey,2017,0,0,0,0,0,0%,0%
,,,,,,,,,
Fullbacks,,,,,,,,,
,,,,,,,,,
Depth,Player,Contract,Draft,Age,Ht,Wt,Status,%Runs,%Targs
1,Cory Harkey,2015,2012-U,25.1,"6'4""",259,0,0%,2%
,,,,,,,,,
Wide Receivers,,,,,,,,,
,,,,,,,,,
Depth,Player,Contract,Draft,Age,Ht,Wt,Status,%Runs,%Targs
1,Brian Quick,2015,2012-2,26.2,"6'3""",218,0,0%,18%
2,Kenny Britt,2016,2009-1,26.9,"6'3""",223,0,0%,16%
3,Tavon Austin,2016,2013-1,24.4,"5'8""",176,0,5%,11%
4,Stedman Bailey,2016,2013-3,24.7,"5'10""",194,0,0%,8%
5,Chris Givens,2015,2012-4,25.7,"6'0""",203,0,0%,1%
6,Damian Williams,R/F,2010-3,27.2,"6'1""",200,0,0%,0%
7,Emory Blake,R/F,2013-U,24.1,"6'0""",192,0,0%,0%
8,Bradley Marquez,2017,0,0,0,0,0,0%,0%
9,Tyler Slavin,2017,0,0,0,0,0,0%,0%
10,Daniel Rodqiguez,0,0,0,0,0,0,0%,0%
16,Isiah Ferguson,2017,0,0,0,0,IR,0%,0%
,,,,,,,,,
Tight Ends,,,,,,,,,
,,,,,,,,,
Depth,Player,Contract,Draft,Age,Ht,Wt,Status,%Runs,%Targs
1,Jared Cook,2017,2009-3,28.3,"6'5""",254,0,0%,17%
2,Lance Kendricks,2018,2011-2,27.5,"6'3""",250,0,0%,8%
3,Justice Cunningham,2015,2013-7,24.6,"6'3""",258,0,0%,0%
4,Alex Bayer,2016,2014-U,24.8,"6'4""",258,0,0%,0%
5,Brad Smelley,R/F,2012-7,26.3,"6'2""",235,0,0%,0%
,,,,,,,,,
