Quarterbacks,,,,,,,,,
,,,,,,,,,
Depth,Player,Contract,Draft,Age,Ht,Wt,Status,%DB,%Runs
1,Robert Griffin III,2016,2012-1,25.5,"6'2""",222,0,74%,15%
2,Kirk Cousins,2015,2012-4,27,"6'3""",202,0,19%,1%
3,Colt McCoy,2015,2010-3,28.9,"6'1""",215,0,6%,1%
,,,,,,,,,
Halfbacks,,,,,,,,,
,,,,,,,,,
Depth,Player,Contract,Draft,Age,Ht,Wt,Status,%Runs,%Targs
1,Alfred Morris,2015,2012-6,26.7,"5'10""",224,0,63%,5%
2,Matt Jones,2018,2015-3,22.7,"6'2""",231,0,13%,8%
3,Chris Thompson,2015,2013-5,24.8,"5'8""",193,0,3%,2%
4,Trey Williams,2017,2015-U,22.7,"5'7""",195,0,0%,0%
5,Mack Brown,0,0,0,0,0,0,0%,0%
,,,,,,,,,
Fullbacks,,,,,,,,,
,,,,,,,,,
Depth,Player,Contract,Draft,Age,Ht,Wt,Status,%Runs,%Targs
1,Darrel Young,2015,2009-U,28.3,"5'11""",251,0,2%,2%
2,Jordan Campbell,R/F,2013-U,27.1,"5'11""",240,0,0%,0%
,,,,,,,,,
Wide Receivers,,,,,,,,,
,,,,,,,,,
Depth,Player,Contract,Draft,Age,Ht,Wt,Status,%Runs,%Targs
1,DeSean Jackson,2016,2008-2,28.7,"5'10""",178,0,1%,20%
2,Pierre Garcon,2016,2008-6,29,"6'0""",216,0,0%,22%
3,Andre Roberts,2017,2010-3,27.6,"5'11""",187,0,0%,11%
4,Jamison Crowder,2018,2015-4,22.1,"5'8""",185,0,0%,7%
5,Ryan Grant,2017,2014-5,24.6,"6'0""",193,0,0%,1%
6,Evan Spencer,2018,2015-6,22.2,"6'2""",208,0,0%,0%
7,Rashad Ross,R/F,2013-U,25.5,"6'0""",181,0,0%,0%
8,Quinton Dunbar,2017,2015-U,23,"6'2""",201,0,0%,0%
9,Colin Lockett,R/F,0,0,0,0,0,0%,0%
10,Reggie Bell,2017,2015-U,23.3,"5'11""",201,0,0%,0%
11,Tony Jones,2017,1990-6,0,"5'7""",145,0,0%,0%
,,,,,,,,,
Tight Ends,,,,,,,,,
,,,,,,,,,
Depth,Player,Contract,Draft,Age,Ht,Wt,Status,%Runs,%Targs
1,Jordan Reed,2016,2013-3,25.1,"6'2""",237,0,0%,16%
2,Derek Carrier,2017,2012-U,25,"6'4""",241,0,0%,4%
3,Je'Ron Hamm,R/F,2014-U,23.1,"6'3""",236,0,0%,2%
4,Chase Dixon,R/F,2014-U,24.2,"6'5""",240,0,0%,0%
5,Devin Mahina,2017,0,0,0,0,0,0%,0%
6,D.J. Williams Jr.,0,2011-5,26.9,"6'2""",245,0,0%,0%
7,Ernst Brun,0,0,0,0,0,0,0%,0%
8,Niles Paul,2017,2011-5,26,"6'1""",241,IR,0%,0%
,,,,,,,,,
