Quarterbacks,,,,,,,,,
,,,,,,,,,
Depth,Player,Contract,Draft,Age,Ht,Wt,Status,%DB,%Runs
1,Drew Brees,2016,2001-2,36.6,"6'0""",209,0,100%,6%
2,Luke McCown,2015,2004-4,34.1,"6'4""",217,0,1%,0%
3,Garrett Grayson,2018,2015-3,24.2,"6'2""",220,0,0%,0%
4,Ryan A. Griffin,2016,2013-U,25.7,"6'5""",210,0,0%,0%
,,,,,,,,,
Halfbacks,,,,,,,,,
,,,,,,,,,
Depth,Player,Contract,Draft,Age,Ht,Wt,Status,%Runs,%Targs
1,Mark Ingram,2018,2011-1,25.6,"5'9""",215,0,54%,6%
2,C.J. Spiller,2018,2010-1,28,"5'11""",200,0,23%,14%
3,Khiry Robinson,2015,2013-U,25.6,"6'0""",220,0,12%,2%
4,Marcus Murphy,2018,2015-7,23.8,"5'9""",195,0,1%,1%
5,Edwin Baker,R/F,2012-7,24.2,"5'8""",210,0,0%,0%
6,Tim Hightower,R/F,2008-5,29.2,"6'0""",220,0,0%,0%
,,,,,,,,,
Fullbacks,,,,,,,,,
,,,,,,,,,
Depth,Player,Contract,Draft,Age,Ht,Wt,Status,%Runs,%Targs
1,Erik Lorig,2017,2010-7,28.7,"6'4""",250,0,1%,3%
2,Austin Johnson,2015,2013-U,26.1,"6'2""",240,0,0%,0%
3,Toben Opurum,R/F,0,0,0,0,0,0%,0%
,,,,,,,,,
Wide Receivers,,,,,,,,,
,,,,,,,,,
Depth,Player,Contract,Draft,Age,Ht,Wt,Status,%Runs,%Targs
1,Brandin Cooks,2017,2014-1,21.9,"5'10""",189,0,3%,21%
2,Marques Colston,2016,2006-7,32.2,"6'4""",225,0,0%,15%
3,Brandon Coleman,2016,2014-U,23.1,"6'6""",225,0,0%,11%
4,Nick Toon,2015,2012-4,26.8,"6'4""",218,0,0%,5%
5,Seantavius Jones,2016,2014-U,23,"6'3""",200,0,0%,2%
6,Josh Morgan,0,2008-6,30.1,"6'0""",219,0,0%,1%
7,Willie Snead,R/F,2014-U,22.8,"5'11""",195,0,0%,0%
8,Joe Morgan,0,2011-U,27.4,"6'1""",184,0,0%,0%
9,Jalen Saunders,2015,2014-4,22.9,"5'9""",165,0,0%,0%
10,R.J. Harris,2017,2015-U,23.2,"6'0""",194,0,0%,0%
11,Lance Lewis,0,2012-U,26.8,"6'2""",207,0,0%,0%
,,,,,,,,,
Tight Ends,,,,,,,,,
,,,,,,,,,
Depth,Player,Contract,Draft,Age,Ht,Wt,Status,%Runs,%Targs
1,Ben Watson,2015,2004-1,34.6,"6'3""",255,0,0%,11%
2,Josh Hill,2015,2013-U,25.2,"6'5""",250,0,0%,8%
3,Alex Smith,0,2005-3,33.2,"6'4""",250,0,0%,1%
4,Orson Charles,R/F,2012-4,24.5,"6'3""",254,susp1,0%,0%
5,Chris Manhertz,0,0,0,0,0,0,0%,0%
8,Kevin Brock,0,2011-U,29.3,"6'5""",264,IR,0%,0%
,,,,,,,,,
