Quarterbacks,,,,,,,,,
,,,,,,,,,
Depth,Player,Contract,Draft,Age,Ht,Wt,Status,%DB,%Runs
1,Russell Wilson,2019,2012-3,26.7,"5'11""",206,0,100%,21%
2,Tarvaris Jackson,2015,2006-2,32.3,"6'2""",225,0,1%,0%
3,R.J. Archer,R/F,2010-U,28,"6'2""",220,0,0%,0%
,,,,,,,,,
Halfbacks,,,,,,,,,
,,,,,,,,,
Depth,Player,Contract,Draft,Age,Ht,Wt,Status,%Runs,%Targs
1,Marshawn Lynch,2017,2007-1,29.3,"5'11""",215,0,57%,10%
2,Robert Turbin,2015,2012-4,25.7,"5'10""",222,0,14%,3%
3,Christine Michael,2016,2013-2,24.7,"5'10""",221,0,7%,1%
4,Thomas Rawls,2017,2015-U,22,"5'9""",215,0,1%,0%
5,Rod X. Smith,2017,0,0,0,0,0,0%,0%
,,,,,,,,,
Fullbacks,,,,,,,,,
,,,,,,,,,
Depth,Player,Contract,Draft,Age,Ht,Wt,Status,%Runs,%Targs
1,Derrick Coleman,2015,2012-U,24.8,"6'0""",233,0,0%,1%
2,Brandon Cottom,2017,0,0,0,0,0,0%,0%
3,Will Tukuafu,0,2010-U,31.6,"6'2""",280,0,0%,0%
,,,,,,,,,
Wide Receivers,,,,,,,,,
,,,,,,,,,
Depth,Player,Contract,Draft,Age,Ht,Wt,Status,%Runs,%Targs
1,Doug Baldwin,2016,2011-U,26.9,"5'10""",189,0,0%,21%
2,Jermaine Kearse,2015,2012-U,25.5,"6'1""",209,0,0%,15%
3,Tyler Lockett,2018,2015-3,22.9,"5'10""",182,0,0%,13%
4,Chris Matthews,2015,2013-U,25.8,"6'5""",218,0,0%,6%
5,Paul Richardson,2017,2014-2,23.3,"6'0""",183,0,0%,1%
6,Ricardo Lockette,2015,2011-U,29.2,"6'2""",211,0,0%,1%
7,Kevin Norwood,2017,2014-4,25.9,"6'2""",199,0,0%,0%
8,Douglas McNeil,R/F,0,0,0,0,0,0%,0%
9,Kevin X. Smith,R/F,0,0,0,0,0,0%,0%
10,Kasen Williams,2017,2015-U,23.2,"6'1""",219,0,0%,0%
11,B.J. Daniels,0,2013-7,25.8,"5'11""",217,0,0%,0%
12,George Farmer,2017,2015-U,22.1,"6'1""",215,0,0%,0%
13,Deshon Foxx,0,0,0,0,0,0,0%,0%
14,Deontay Greenberry,0,0,0,0,0,0,0%,0%
,,,,,,,,,
Tight Ends,,,,,,,,,
,,,,,,,,,
Depth,Player,Contract,Draft,Age,Ht,Wt,Status,%Runs,%Targs
1,Jimmy Graham,2017,2010-3,28.7,"6'7""",265,0,0%,24%
2,Luke Willson,2016,2013-5,25.6,"6'5""",252,0,0%,4%
3,Anthony McCoy,0,2010-6,27.6,"6'5""",259,0,0%,1%
4,Cooper Helfet,2015,2011-U,26.2,"6'3""",239,0,0%,0%
5,Rashaun Allen,R/F,2014-U,25.5,"6'4""",250,0,0%,0%
,,,,,,,,,
