Quarterbacks,,,,,,,,,
,,,,,,,,,
Depth,Player,Contract,Draft,Age,Ht,Wt,Status,%DB,%Runs
1,Ben Roethlisberger,2019,2004-1,33.4,"6'5""",241,0,97%,8%
2,Michael Vick,2015,2001-1,35.1,"6'0""",215,0,3%,1%
3,Landry Jones,2016,2013-4,26.3,"6'3""",221,0,0%,0%
6,Bruce Gradkowski,2015,2006-6,32.5,"6'1""",220,IR,0%,0%
,,,,,,,,,
Halfbacks,,,,,,,,,
,,,,,,,,,
Depth,Player,Contract,Draft,Age,Ht,Wt,Status,%Runs,%Targs
1,Le'Veon Bell,2016,2013-2,23,"6'1""",244,0,61%,14%
2,DeAngelo Williams,2016,2006-1,32.3,"5'9""",215,0,20%,2%
3,Dri Archer,2017,2014-3,24,"5'8""",173,0,4%,5%
4,Josh Harris,2015,2014-U,24.5,"5'11""",210,0,3%,0%
5,Jawon Chisholm,2017,0,0,0,0,0,0%,0%
6,Braylon Heard,2017,0,0,0,0,0,0%,0%
10,Ross Scheuerman,2017,2015-U,22.4,"6'0""",204,IR,0%,0%
,,,,,,,,,
Fullbacks,,,,,,,,,
,,,,,,,,,
Depth,Player,Contract,Draft,Age,Ht,Wt,Status,%Runs,%Targs
1,Will Johnson,2015,2011-U,25.7,"6'2""",206,0,0%,2%
2,Roosevelt Nix,R/F,1992-8,23.4,"5'11""",260,0,0%,0%
,,,,,,,,,
Wide Receivers,,,,,,,,,
,,,,,,,,,
Depth,Player,Contract,Draft,Age,Ht,Wt,Status,%Runs,%Targs
1,Antonio Brown,2017,2010-6,27.1,"5'10""",186,0,1%,30%
2,Martavis Bryant,2017,2014-4,23.6,"6'4""",211,0,1%,12%
3,Markus Wheaton,2016,2013-3,24.5,"5'11""",182,0,1%,14%
4,Sammie Coates,2018,2015-3,22.4,"6'1""",212,0,0%,4%
5,Darrius Heyward-Bey,2015,2009-1,28.4,"6'2""",219,0,0%,1%
6,C.J. Goodwin,R/F,0,0,0,0,0,0%,0%
7,Tyler Murphy,2017,0,0,0,0,0,0%,0%
8,Shakim Phillips,2017,2015-U,23.4,"6'3""",206,0,0%,0%
9,Kenzel Doe,0,0,0,0,0,0,0%,0%
10,Jarrod West,0,0,0,0,0,0,0%,0%
15,David Nelson,0,2010-U,28.8,"6'5""",215,IR,0%,0%
16,Eli Rogers,2017,0,0,0,0,IR,0%,0%
,,,,,,,,,
Tight Ends,,,,,,,,,
,,,,,,,,,
Depth,Player,Contract,Draft,Age,Ht,Wt,Status,%Runs,%Targs
1,Heath Miller,2016,2005-1,32.8,"6'5""",256,0,0%,15%
2,Matt Spaeth,2016,2007-3,30.7,"6'7""",260,0,0%,1%
3,Jesse James,2018,2015-5,21.2,"6'7""",261,0,0%,1%
4,Ray Hamilton,0,0,0,0,0,0,0%,0%
8,Rob Blanchflower,R/F,2014-7,25.2,"6'4""",256,IR,0%,0%
,,,,,,,,,
