Quarterbacks,,,,,,,,,
,,,,,,,,,
Depth,Player,Contract,Draft,Age,Ht,Wt,Status,%DB,%Runs
1,Brian Hoyer,2016,2009-U,29.8,"6'2""",215,0,62%,5%
2,Ryan Mallett,2016,2011-3,27.2,"6'6""",245,0,38%,2%
3,Tom Savage,2017,2014-4,25.3,"6'4""",228,0,0%,0%
,,,,,,,,,
Halfbacks,,,,,,,,,
,,,,,,,,,
Depth,Player,Contract,Draft,Age,Ht,Wt,Status,%Runs,%Targs
1,Arian Foster,2016,2009-U,29,"6'1""",227,0,48%,11%
2,Alfred Blue,2017,2014-6,24.3,"6'2""",223,0,29%,4%
3,Jonathan Grimes,2015,2012-U,25.6,"5'10""",209,0,10%,2%
4,Chris Polk,0,2012-U,25.6,"5'11""",222,0,4%,0%
5,Kenny Hilliard,2018,2015-7,23.8,"5'11""",226,0,1%,0%
,,,,,,,,,
Fullbacks,,,,,,,,,
,,,,,,,,,
Depth,Player,Contract,Draft,Age,Ht,Wt,Status,%Runs,%Targs
1,Jay Prosch,2017,2014-6,23,"6'1""",256,0,0%,1%
,,,,,,,,,
Wide Receivers,,,,,,,,,
,,,,,,,,,
Depth,Player,Contract,Draft,Age,Ht,Wt,Status,%Runs,%Targs
1,DeAndre Hopkins,2016,2013-1,23.2,"6'1""",218,0,0%,26%
2,Nate Washington,0,2005-U,31.9,"6'1""",183,0,0%,16%
3,Cecil Shorts,2016,2011-4,27.6,"6'0""",202,0,0%,12%
4,Jaelen Strong,2018,2015-3,21.5,"6'2""",217,0,0%,9%
5,Keith Mumphery,2018,2015-5,23.2,"6'0""",215,0,0%,1%
6,Alan Bonner,2016,2013-6,24.8,"5'10""",191,0,0%,1%
7,Damaris Johnson,2015,2012-U,25.7,"5'8""",175,0,0%,0%
8,Keshawn Martin,2015,2012-4,25.4,"5'11""",194,0,0%,0%
9,Jace Davis,R/F,0,0,0,0,0,0%,0%
10,Uzoma Nwachukwu,R/F,0,0,0,0,0,0%,0%
11,Travis Labhart,R/F,0,0,0,0,0,0%,0%
12,Chandler Worthy,2017,0,0,0,0,0,0%,0%
,,,,,,,,,
Tight Ends,,,,,,,,,
,,,,,,,,,
Depth,Player,Contract,Draft,Age,Ht,Wt,Status,%Runs,%Targs
1,Garrett Graham,2016,2010-4,29,"6'3""",243,0,0%,8%
2,C.J. Fiedorowicz,2017,2014-3,23.8,"6'5""",265,0,0%,4%
3,Ryan Griffin,2016,2013-6,25.6,"6'6""",254,0,0%,3%
4,J.J. Watt (off.),2021,0,0,0,0,0,0%,1%
5,Anthony Denham,2016,0,24.1,"6'4""",235,0,0%,0%
6,Khari Lee,2017,0,0,0,0,0,0%,0%
8,Mike McFarland,2017,0,0,0,0,IR,0%,0%
,,,,,,,,,
