Quarterbacks,,,,,,,,,
,,,,,,,,,
Depth,Player,Contract,Draft,Age,Ht,Wt,Status,%DB,%Runs
1,Marcus Mariota,2018,2015-1,21.8,"6'4""",222,0,100%,21%
2,Zach Mettenberger,2017,2014-6,24.1,"6'5""",224,0,1%,0%
3,Charlie Whitehurst,2015,2006-3,33,"6'5""",226,0,0%,0%
4,Alex Tanney,R/F,2012-U,27.7,"6'4""",220,0,0%,0%
,,,,,,,,,
Halfbacks,,,,,,,,,
,,,,,,,,,
Depth,Player,Contract,Draft,Age,Ht,Wt,Status,%Runs,%Targs
1,Bishop Sankey,2017,2014-2,22.9,"5'10""",209,0,43%,5%
2,Dexter McCluster,2016,2010-2,27,"5'8""",170,0,11%,10%
3,David Cobb,2018,2015-5,22.2,"5'11""",229,0,20%,2%
4,Antonio Andrews,2015,2014-U,23,"5'10""",225,0,3%,0%
5,David Fluellen,0,2014-U,23.5,"5'11""",224,0,0%,0%
6,Zach Boren,0,0,0,0,0,0,0%,0%
,,,,,,,,,
Fullbacks,,,,,,,,,
,,,,,,,,,
Depth,Player,Contract,Draft,Age,Ht,Wt,Status,%Runs,%Targs
1,Jalston Fowler,2018,2015-4,25,"5'11""",254,0,2%,1%
4,Connor Neighbors,2017,0,0,0,0,IR,0%,0%
,,,,,,,,,
Wide Receivers,,,,,,,,,
,,,,,,,,,
Depth,Player,Contract,Draft,Age,Ht,Wt,Status,%Runs,%Targs
1,Kendall Wright,2016,2012-1,25.7,"5'10""",191,0,1%,23%
2,Hakeem Nicks,2015,2009-1,27.6,"6'1""",208,0,0%,10%
3,Harry Douglas,2017,2008-3,30.9,"6'0""",183,0,0%,11%
4,Dorial Green-Beckham,2018,2015-2,22.3,"6'5""",237,0,0%,10%
5,Justin Hunter,2016,2013-2,24.2,"6'4""",203,0,0%,4%
6,Tre McBride,2018,2015-7,22.7,"6'0""",210,0,0%,1%
7,Jacoby Ford,R/F,2010-4,28,"5'9""",190,0,0%,0%
8,Josh Stewart,2016,2014-U,22.8,"5'10""",178,0,0%,0%
9,Rico Richardson,2016,2013-U,24.1,"6'1""",185,0,0%,0%
10,Deon Long,2017,2015-U,24.2,"6'0""",192,0,0%,0%
11,Andrew Turzilli,2017,0,0,0,0,0,0%,0%
12,Tebucky Jones,0,1998-1,40.8,"6'0""",197,0,0%,0%
,,,,,,,,,
Tight Ends,,,,,,,,,
,,,,,,,,,
Depth,Player,Contract,Draft,Age,Ht,Wt,Status,%Runs,%Targs
1,Delanie Walker,2016,2006-6,31,"6'0""",248,0,0%,20%
2,Craig Stevens,2015,2008-3,30.9,"6'3""",263,0,0%,2%
3,Anthony Fasano,0,2006-2,31.3,"6'4""",255,0,0%,2%
4,Tevin Westbrook,2017,0,0,0,0,0,0%,0%
5,Phillip Supernaw,0,2012-U,25.5,"6'5""",248,0,0%,0%
6,Chase Coffman,0,2009-3,28.7,"6'6""",250,0,0%,0%
8,Dorin Dickerson,R/F,2010-7,27.4,"6'1""",226,IR,0%,0%
,,,,,,,,,
