Quarterbacks,,,,,,,,,
,,,,,,,,,
Depth,Player,Contract,Draft,Age,Ht,Wt,Status,%DB,%Runs
1,Teddy Bridgewater,2017,2014-1,22.8,"6'2""",215,0,100%,13%
2,Shaun Hill,2016,0,35.6,"6'3""",230,0,1%,0%
3,Mike Kafka,0,2010-4,28,"6'3""",230,0,0%,0%
4,Taylor Heinicke,2017,0,0,0,0,0,0%,0%
,,,,,,,,,
Halfbacks,,,,,,,,,
,,,,,,,,,
Depth,Player,Contract,Draft,Age,Ht,Wt,Status,%Runs,%Targs
1,Adrian L. Peterson,2017,2007-1,30.4,"6'1""",220,0,66%,13%
2,Jerick McKinnon,2017,2014-3,23.3,"5'9""",205,0,14%,6%
3,Matt Asiata,2015,2011-U,28,"6'0""",219,0,5%,4%
4,DuJuan Harris,2015,2011-U,26.9,"5'7""",206,0,0%,0%
5,Joe Banyard,2015,2012-U,26.7,"5'10""",221,0,0%,0%
6,Dominique Williams,R/F,0,0,0,0,0,0%,0%
,,,,,,,,,
Fullbacks,,,,,,,,,
,,,,,,,,,
Depth,Player,Contract,Draft,Age,Ht,Wt,Status,%Runs,%Targs
1,Zach Line,2015,2013-U,25.3,"6'1""",233,0,0%,0%
2,Blake Renaud,2017,0,0,0,0,0,0%,0%
,,,,,,,,,
Wide Receivers,,,,,,,,,
,,,,,,,,,
Depth,Player,Contract,Draft,Age,Ht,Wt,Status,%Runs,%Targs
1,Charles D. Johnson,2015,2013-7,26.4,"6'2""",217,0,0%,21%
2,Mike Wallace,2017,2009-3,29,"6'0""",205,0,0%,19%
3,Jarius Wright,2015,2012-4,25.7,"5'10""",191,0,1%,9%
4,Cordarrelle Patterson,2016,2013-1,24.4,"6'2""",220,0,2%,6%
5,Stefon Diggs,2018,2015-5,21.7,"6'0""",191,0,0%,2%
6,Adam Thielen,2015,2014-U,25,"6'2""",200,0,0%,0%
7,Donte Foster,R/F,0,0,0,0,0,0%,0%
8,DaVaris Daniels,2017,2015-U,22.6,"6'1""",201,0,0%,0%
9,Isaac Fruechte,2017,0,0,0,0,0,0%,0%
10,Jordan Leslie,2017,2015-U,23.8,"6'3""",209,0,0%,0%
11,Ryan Whalen,0,2011-6,26,"6'1""",200,0,0%,0%
16,Gavin Lutman,2017,2015-U,24.4,"6'2""",211,IR,0%,0%
,,,,,,,,,
Tight Ends,,,,,,,,,
,,,,,,,,,
Depth,Player,Contract,Draft,Age,Ht,Wt,Status,%Runs,%Targs
1,Kyle Rudolph,2019,2011-2,25.7,"6'6""",265,0,0%,15%
2,MyCole Pruitt,2018,2015-5,23.4,"6'2""",258,0,0%,4%
3,Rhett Ellison,2015,2012-4,26.8,"6'5""",250,0,0%,1%
4,Chase Ford,2015,2012-U,25.1,"6'6""",265,0,0%,1%
5,Brandon Bostick,2015,2012-U,26.3,"6'3""",250,0,0%,0%
,,,,,,,,,
